epc,rssi,phase,beam_id,frequency,time
30347A12301D59859682FFA3,-701,14,0,866900000,1572350776.956903
30347A12301D7AC59682FF1E,-735,3,0,866900000,1572350776.9586911
30347A125C2729459682FF50,-729,24,0,866900000,1572350776.963798
30347A12301D63059682FFB1,-598,45,0,866900000,1572350776.9679132
30347A12301D63859682FFB4,-581,30,0,866900000,1572350776.9718368
E28011700000020D350CC58F,-581,34,0,866900000,1572350776.976855
E28011700000020D350CAB2F,-581,59,0,866900000,1572350776.9809432
30347A12301D63859682FFB3,-529,47,0,866900000,1572350776.9844859
E28011700000020D350CAB3F,-627,58,0,866900000,1572350776.988636
30347A12301D63459682FFB2,-680,22,0,866900000,1572350776.992476
30347A12301D72859682FF72,-701,16,0,866900000,1572350776.9965706
30347A12301D62C59682FFA8,-589,14,0,866900000,1572350777.0006158
30347A125C2729EFDFA3997E,-627,27,0,866900000,1572350777.004506
E28011700000020D350CABEF,-598,4,0,866900000,1572350777.008655
E28011700000020D350CE1BE,-659,27,0,866900000,1572350777.0147042
E28011700000020D350CABDF,-641,34,0,866900000,1572350777.01834
30347A12301D8EC59682FEF9,-719,47,0,866900000,1572350777.032929
3034CB1FE04D3C202435E66A,-735,39,0,866900000,1572350777.035876
30347A12301D67059682FF68,-710,14,0,866900000,1572350777.043817
30347A12301D8FC59682FEFA,-762,16,0,866900000,1572350777.0497699
30347A125C2729EE759FCEF4,-729,8,0,866900000,1572350777.05064
30347A12301D5A459682FF59,-735,36,0,866900000,1572350777.058893
30347A12301D61059682FF2B,-770,33,0,866900000,1572350777.0776372
30347A12301D62459682FFA6,-747,29,0,866900000,1572350777.0805721
30347A12301D55C59682FF9B,-729,23,0,866900000,1572350777.10157
30347A125C2729EFDFA3997E,-634,16,0,866900000,1572350777.105632
E28011700000020D350CAB2F,-566,55,0,866900000,1572350777.1095624
30347A12301D62C59682FFA8,-581,7,0,866900000,1572350777.113591
E28011700000020D350CABDF,-669,37,0,866900000,1572350777.115867
30347A12301D5C859682FF73,-735,0,0,866900000,1572350777.1268852
30347A12301D63859682FFB4,-589,14,0,866900000,1572350777.1304948
30347A12301D61059682FFBC,-701,26,0,866900000,1572350777.134565
3034CB1FE04D3220F382056E,-762,38,0,866900000,1572350777.136503
E28011700000020D350CAB3F,-609,8,0,866900000,1572350777.145737
E28011700000020D350CABEF,-573,15,0,866900000,1572350777.1498759
30347A12301D63059682FFB1,-581,29,0,866900000,1572350777.154405
30347A12301D8FC59682FEFA,-729,59,0,866900000,1572350777.157609
30347A12301D63859682FFB3,-529,29,0,866900000,1572350777.163063
30347A12301D87059682FF12,-747,0,0,866900000,1572350777.1667929
30347A12301D8EC59682FEF9,-719,18,0,866900000,1572350777.17056
30347A12301D63459682FFB2,-687,4,0,866900000,1572350777.1745126
30347A12301D77059682FF17,-627,47,0,866900000,1572350777.1785688
E28011700000020D350CC58F,-560,24,0,866900000,1572350777.183754
30347A12301D61059682FF2B,-795,18,0,866900000,1572350777.1906462
30347A12301D60C59682FFB9,-762,42,0,866900000,1572350777.196438
3034CB1FE04D34A02DF07079,-741,9,0,866900000,1572350777.2005286
30347A12301D63059682FFB0,-674,27,0,866900000,1572350777.2065132
30347A12301D62459682FFA6,-735,18,0,866900000,1572350777.2124019
30347A125C2729EE759FCEF4,-620,34,0,866900000,1572350777.2154298
30347A12301D67059682FF68,-680,44,0,866900000,1572350777.221287
E28011700000020D350CE1BE,-659,43,0,866900000,1572350777.225025
30347A12301D87059682FF11,-687,37,0,866900000,1572350777.229595
30347A12301D75059682FF19,-701,33,0,866900000,1572350777.229808
30347A12301D8F459682FEF7,-694,51,0,866900000,1572350777.2389789
30347A12301D61C59682FFB8,-735,6,0,866900000,1572350777.240644
30347A12301D87C59682FF28,-687,60,0,866900000,1572350777.2476294
30347A12301D6BC59682FF67,-694,5,0,866900000,1572350777.255612
30347A12301D5A459682FF59,-729,58,0,866900000,1572350777.271698
E28011700000020D350CE1BE,-719,2,1,866900000,1572350777.295609
30347A12301D5F059682FF79,-735,34,1,866900000,1572350777.301728
30347A125C272A059682FF3E,-694,23,1,866900000,1572350777.3036
E28011700000020D350CAB3F,-694,22,1,866900000,1572350777.31452
E28011700000020D350CABEF,-669,13,1,866900000,1572350777.3186374
E28011700000020D350CC58F,-634,19,1,866900000,1572350777.32271
30347A12301D63059682FFB1,-620,16,1,866900000,1572350777.329652
30347A12301D63859682FFB3,-609,20,1,866900000,1572350777.3334332
30347A12301D60459682FF90,-694,57,1,866900000,1572350777.339581
