epc,rssi,phase,beam_id,frequency,time
30347A12301D63859682FFB3,-573,48,0,866900000,1572350610.597126
E28011700000020D350CE1BE,-634,26,0,866900000,1572350610.597924
30347A12301D63859682FFB4,-598,27,0,866900000,1572350610.601825
30347A12301D72859682FF72,-659,9,0,866900000,1572350610.6060529
30347A12301D51459682FF61,-687,44,0,866900000,1572350610.6099901
30347A12301D55C59682FF9B,-669,13,0,866900000,1572350610.6167312
30347A12301D61059682FFBC,-641,51,0,866900000,1572350610.618619
30347A12301D7F059682FF14,-694,38,0,866900000,1572350610.627583
30347A12301D53C59682FFA4,-710,22,0,866900000,1572350610.63263
E28011700000020D350CABEF,-710,17,0,866900000,1572350610.636677
30347A12301D62C59682FFA8,-649,62,0,866900000,1572350610.640882
30347A12301D62459682FFA6,-741,19,0,866900000,1572350610.6467466
30347A12301D6BC59682FF67,-641,53,0,866900000,1572350610.65084
30347A12301D66059682FF70,-687,6,0,866900000,1572350610.656557
30347A12301D90459682FEF6,-680,15,0,866900000,1572350610.6600132
30347A12301D56859682FF5C,-694,63,0,866900000,1572350610.6647599
E28011700000020D350CABDF,-729,59,0,866900000,1572350610.66986
E28011700000020D350CAB3F,-627,45,0,866900000,1572350610.67381
E28011700000020D350CAB2F,-719,17,0,866900000,1572350610.677597
30347A12301D59859682FFA3,-641,55,0,866900000,1572350610.683739
30347A12301D82C59682FF04,-719,39,0,866900000,1572350610.689527
30347A12301D67059682FF68,-680,30,0,866900000,1572350610.693886
30347A12301D87E89FFF9563,-687,45,0,866900000,1572350610.7010438
30347A125C2729EFDFA3997E,-694,4,0,866900000,1572350610.7050312
E28011700000020D350CC58F,-687,45,0,866900000,1572350610.713952
30395F3C41407BACFFFED7AD,-719,16,0,866900000,1572350610.728218
30347A12301D61059682FF58,-669,21,0,866900000,1572350610.732713
30347A125C272B859682FF2E,-669,51,0,866900000,1572350610.7522562
30347A12301D5C859682FF73,-589,36,0,866900000,1572350610.7586198
30347A12301D68459682FEF2,-694,29,0,866900000,1572350610.762608
30347A12301D68459682FEF2,-701,24,0,866900000,1572350610.7760034
30347A12301D77059682FF17,-674,62,0,866900000,1572350610.777641
30347A12301D5C859682FF73,-598,43,0,866900000,1572350610.794898
30347A12301D7F059682FF14,-649,49,0,866900000,1572350610.7988732
E28011700000020D350CAB2F,-634,39,0,866900000,1572350610.800668
E28011700000020D350CE1BE,-566,6,0,866900000,1572350610.8211358
30347A12301D90459682FEF6,-747,28,0,866900000,1572350610.824557
E28011700000020D350CABEF,-719,7,0,866900000,1572350610.8286872
30347A12301D77059682FF17,-659,12,0,866900000,1572350610.8338828
30347A12301D63859682FFB3,-589,39,0,866900000,1572350610.840032
E28011700000020D350CABDF,-669,29,0,866900000,1572350610.845078
30347A125C272B859682FF2E,-735,47,0,866900000,1572350610.848804
30347A12301D59859682FFA3,-641,4,0,866900000,1572350610.853916
30347A12301D63859682FFB4,-627,27,0,866900000,1572350610.8586571
30347A12301D51459682FF61,-710,63,0,866900000,1572350610.866592
