beam_id,epc,frequency,phase,rssi,time,in_box
0,E2806894000040020365188D,866900000,54,-494,1570717254.1170392,1
0,3035345E3C3CBE199C8322B9,866900000,6,-687,1570717254.11903,0
0,E2806894000040020364F88D,866900000,16,-710,1570717254.125052,1
0,3035345E3C2AFBD99C831460,866900000,7,-659,1570717254.130295,0
0,E2806894000050020365108D,866900000,47,-488,1570717254.136236,1
0,E28068100000003931D4F27C,866900000,47,-729,1570717254.1393359,0
0,3035345E3C44B1999C832C8E,866900000,62,-770,1570717254.143382,0
0,3035345E403DBDD99C838553,866900000,41,-719,1570717254.148142,0
0,3035345E3C2AFBD99C831462,866900000,46,-620,1570717254.153352,0
0,E28068940000400203650C8D,866900000,13,-529,1570717254.1541069,1
0,E28068100000003931D50CEE,866900000,8,-729,1570717254.166077,0
0,E2806894000050020364F08D,866900000,41,-400,1570717254.166997,1
0,E2806894000040020365188D,866900000,57,-488,1570717254.175354,1
0,3035345E3C3CBE199C8322B9,866900000,7,-680,1570717254.179318,0
0,E2806894000050020365048D,866900000,48,-701,1570717254.1847632,1
0,E2806894000050020365088D,866900000,27,-478,1570717254.1903028,1
0,3035345E3C2AFBD99C831462,866900000,46,-627,1570717254.195596,0
0,E2806894000050020365108D,866900000,48,-488,1570717254.20147,1
0,E2806894000050020364F08D,866900000,42,-393,1570717254.2044759,1
0,E2806894000050020364FC8D,866900000,33,-719,1570717254.209357,1
0,3035345E3C3E59599C83249A,866900000,27,-659,1570717254.2123241,0
0,3035345E3C2AFBD99C831461,866900000,55,-620,1570717254.2271721,0
0,3035345E403DBDD99C838553,866900000,32,-754,1570717254.2310169,0
0,3035345E3C3B8B599C832199,866900000,7,-762,1570717254.2349708,0
0,E2806894000040020364F48D,866900000,57,-494,1570717254.2390232,1
0,E2806894000040020365148D,866900000,28,-659,1570717254.243055,1
0,E28068940000400203650C8D,866900000,11,-521,1570717254.247145,1
0,3035345E3C434FD99C832A45,866900000,26,-754,1570717254.253016,0
1,E28068940000400203650C8D,866900000,25,-428,1570717254.2745788,1
1,E2806894000050020364F08D,866900000,16,-529,1570717254.2783608,1
1,E2806894000040020364F48D,866900000,44,-494,1570717254.282145,1
1,3035345E3C2AFBD99C831461,866900000,3,-609,1570717254.2860758,0
1,3035345E3C468E999C832E6D,866900000,43,-627,1570717254.2921758,0
1,3035345E3C4462D99C832BF5,866900000,7,-649,1570717254.294015,0
1,E2806894000050020364FC8D,866900000,46,-529,1570717254.303057,1
1,3035345E3C44B8199C832CB9,866900000,29,-620,1570717254.3083706,0
1,3035345E3C43CC999C832AEE,866900000,3,-641,1570717254.314141,0
1,3035345E3C4694199C832E70,866900000,30,-659,1570717254.319701,0
1,E2806894000040020365148D,866900000,39,-554,1570717254.3265471,1
1,3035345E3C3E59599C83249A,866900000,11,-659,1570717254.3304539,0
1,3035345E3C468ED99C832E6E,866900000,58,-614,1570717254.3353949,0
1,3035345E3C43E2D99C832B06,866900000,25,-659,1570717254.337426,0
1,E2806894000040020365188D,866900000,12,-649,1570717254.3471448,1
1,3035345E3C43E2D99C832B07,866900000,36,-609,1570717254.3522592,0
1,3035345E3C3E44199C832448,866900000,5,-609,1570717254.358031,0
1,3035345E3C2126199C830BA7,866900000,46,-674,1570717254.3650408,0
1,3035345E3C3D12D99C8322F7,866900000,41,-710,1570717254.369005,0
1,3035345E3C3D13D99C832315,866900000,34,-687,1570717254.373006,0
1,E2806894000050020365088D,866900000,61,-674,1570717254.3783321,1
1,3035345E3C475A199C832F1C,866900000,55,-694,1570717254.382383,0
1,3035345E3C44B1999C832C94,866900000,28,-680,1570717254.388007,0
1,3035345E3C475A599C832F1E,866900000,9,-694,1570717254.397298,0
1,3035345E3C3E44199C83244A,866900000,32,-754,1570717254.40331,0
