epc,rssi,phase,beam_id,frequency,time
E28011700000020D350CABEF,-710,58,0,866900000,1572350914.6028562
E28011700000020D350CABDF,-701,24,0,866900000,1572350914.606846
E28011700000020D350CE1BE,-620,40,0,866900000,1572350914.6105108
E28011700000020D350CAB2F,-669,47,0,866900000,1572350914.6195214
E28011700000020D350CC58F,-641,37,0,866900000,1572350914.620348
E28011700000020D350CC58F,-659,41,0,866900000,1572350914.632666
E28011700000020D350CABDF,-694,41,0,866900000,1572350914.6366901
E28011700000020D350CAB2F,-641,57,0,866900000,1572350914.6406012
E28011700000020D350CABEF,-674,12,0,866900000,1572350914.649784
E28011700000020D350CAB3F,-627,5,0,866900000,1572350914.6545448
E28011700000020D350CE1BE,-614,4,0,866900000,1572350914.655576
E28011700000020D350CABDF,-620,27,1,866900000,1572350914.6798458
E28011700000020D350CABEF,-669,5,1,866900000,1572350914.6847868
E28011700000020D350CE1BE,-687,1,1,866900000,1572350914.6883774
E28011700000020D350CC58F,-687,60,1,866900000,1572350914.6938028
E28011700000020D350CAB3F,-694,20,1,866900000,1572350914.6984918
E28011700000020D350CAB2F,-687,7,1,866900000,1572350914.707488
E28011700000020D350CAB3F,-701,30,1,866900000,1572350914.717551
E28011700000020D350CABEF,-659,29,1,866900000,1572350914.719614
E28011700000020D350CABDF,-627,48,1,866900000,1572350914.7324226
E28011700000020D350CC58F,-674,18,1,866900000,1572350914.736661
E28011700000020D350CABEF,-659,54,0,866900000,1572350914.755614
E28011700000020D350CAB3F,-614,47,0,866900000,1572350914.7564402
E28011700000020D350CC58F,-609,43,0,866900000,1572350914.763683
E28011700000020D350CABDF,-719,42,0,866900000,1572350914.773518
E28011700000020D350CE1BE,-589,8,0,866900000,1572350914.7815082
E28011700000020D350CC58F,-614,49,0,866900000,1572350914.791893
E28011700000020D350CAB3F,-614,54,0,866900000,1572350914.795514
E28011700000020D350CABEF,-641,3,0,866900000,1572350914.7997582
E28011700000020D350CAB2F,-614,46,0,866900000,1572350914.801366
E28011700000020D350CABDF,-687,47,0,866900000,1572350914.80752
E28011700000020D350CAB3F,-659,56,1,866900000,1572350914.8299148
E28011700000020D350CC58F,-669,43,1,866900000,1572350914.8327832
E28011700000020D350CABCF,-729,36,1,866900000,1572350914.844295
E28011700000020D350CABEF,-634,13,1,866900000,1572350914.848768
E28011700000020D350CABFF,-747,56,1,866900000,1572350914.853542
