beam_id,epc,frequency,phase,rssi,time,in_box
0,3035345E3C4447999C832B9F,866900000,11,-729,1570715815.019809,0
0,E28011700000020EC250705D,866900000,17,-409,1570715815.021675,1
0,3035345E3C475A199C832F1D,866900000,59,-735,1570715815.0266812,0
0,3035345E3C3E44199C832448,866900000,4,-659,1570715815.034101,0
0,E28011700000020EC2507057,866900000,48,-589,1570715815.0439072,1
0,E28011700000020EC250705C,866900000,59,-434,1570715815.048917,1
0,E28011700000020EC2506957,866900000,24,-538,1570715815.049215,1
0,3035345E403DBDD99C838553,866900000,57,-729,1570715815.0588002,0
0,3035345E3C1BD4599C8308A5,866900000,27,-735,1570715815.060707,0
0,3035345E3C3D9DD99C832388,866900000,43,-741,1570715815.067662,0
0,E28011700000020EC250695C,866900000,53,-418,1570715815.08625,1
0,E28011700000020EC2506957,866900000,26,-538,1570715815.090986,1
0,E28011700000020EC250705C,866900000,59,-434,1570715815.0947402,1
0,E28011700000020EC250705D,866900000,16,-409,1570715815.0986981,1
0,E28011700000020EC2507056,866900000,24,-409,1570715815.108012,1
0,3035345E3C45A2D99C832DAB,866900000,1,-627,1570715815.111677,0
0,3035345E3C4445D99C832B96,866900000,59,-770,1570715815.1166651,0
0,3035345E3C3E44199C832448,866900000,62,-634,1570715815.121641,0
0,E28011700000020EC2506956,866900000,52,-434,1570715815.1256409,1
0,E28011700000020EC2506857,866900000,9,-488,1570715815.129955,1
0,3035345E3C3C8C199C83229F,866900000,8,-659,1570715815.1319802,0
0,3035345E3C3D94D99C832383,866900000,16,-741,1570715815.14088,0
0,E28011700000020EC2507057,866900000,52,-589,1570715815.144795,1
0,E28011700000020EC250695D,866900000,49,-614,1570715815.148799,1
0,E28011700000020EC250715C,866900000,24,-694,1570715815.154002,1
0,3035345E3C3E44199C832449,866900000,53,-754,1570715815.157814,0
0,3035345E3C4597599C832DA8,866900000,57,-659,1570715815.1619468,0
0,E28068100000003931D4F27C,866900000,31,-687,1570715815.1687858,0
0,3035345E3C4445D99C832B95,866900000,60,-789,1570715815.175838,0
0,3035345E3C43CC999C832AEE,866900000,37,-659,1570715815.179656,0
0,3035345E3C4447999C832B9F,866900000,1,-719,1570715815.1846569,0
0,3035345E403DBDD99C838553,866900000,50,-762,1570715815.1876512,0
