beam_id,epc,frequency,phase,rssi,time,in_box
0,30347A12301D63859682FFB3,866900000,60,-659,1570715231.829273,0
0,3034CB1FE04D3C20868922F4,866900000,40,-741,1570715231.836247,0
0,30347A12301D63059682FFB0,866900000,40,-741,1570715231.8462248,0
0,3034CB1FE04D406025F8901F,866900000,38,-779,1570715231.85027,0
0,E28011700000020EC250695D,866900000,40,-701,1570715231.8595471,1
0,E28011700000020EC2506956,866900000,15,-453,1570715231.863681,1
0,E28011700000020EC2506857,866900000,35,-446,1570715231.867618,1
0,30347A125C272AC59682FF3A,866900000,61,-687,1570715231.872342,0
0,E28011700000020EC2506957,866900000,46,-634,1570715231.87639,1
0,30347A12301D51459682FF61,866900000,59,-747,1570715231.881288,0
0,E28011700000020EC2507056,866900000,25,-529,1570715231.8913949,1
0,3034CB1FE04D3B60AC233D38,866900000,20,-735,1570715231.893226,0
0,30347A12301D63059682FFB1,866900000,48,-627,1570715231.90327,0
0,3034CB1FE04D3EA0730635B0,866900000,51,-754,1570715231.908258,0
0,E28011700000020EC2507057,866900000,43,-641,1570715231.913239,1
0,30347A12301D7D859682FF07,866900000,28,-701,1570715231.917225,0
0,3034CB1FE04D34205848D3CB,866900000,63,-729,1570715231.9224699,0
0,3034CB1FE04D342039D18773,866900000,1,-719,1570715231.9318242,0
0,30347A12301D54459682FF96,866900000,52,-659,1570715231.938472,0
0,30347A12301D61C59682FFB7,866900000,14,-754,1570715231.94536,0
0,30347A12301D63459682FFB2,866900000,38,-701,1570715231.9533708,0
0,E28011700000020EC250705C,866900000,6,-453,1570715231.9583502,1
0,3034CB1FE04D3DA0154E1058,866900000,41,-741,1570715231.9622529,0
0,30347A12301D8FC59682FEFA,866900000,13,-741,1570715231.976331,0
0,E28011700000020EC250705D,866900000,9,-469,1570715231.989398,1
0,30347A12301D72859682FF72,866900000,58,-754,1570715231.995594,0
0,30347A125C272BC59682FF35,866900000,18,-729,1570715231.9995599,0
0,E28011700000020EC250695C,866900000,26,-469,1570715232.005377,1
0,E28011700000020EC250715C,866900000,48,-554,1570715232.009392,1
0,3034CB1FE04D352042513982,866900000,7,-747,1570715232.0122519,0
0,3034CB1FE04D36601DB310DE,866900000,38,-741,1570715232.0223448,0
0,3034CB1FE04D3220AF16BDD6,866900000,33,-762,1570715232.02625,0
0,30347A125C272B059682FF39,866900000,58,-735,1570715232.0302382,0
0,30347A12301D87E89FFF9563,866900000,26,-719,1570715232.033248,0
0,3034CB1FE04D34E019980B6B,866900000,44,-754,1570715232.042319,0
0,3034CB1FE04D34E049D7CA17,866900000,39,-762,1570715232.055536,0
0,3034CB1FE04D3AE0F2E5B23F,866900000,27,-795,1570715232.060607,0
0,3034CB1FE04D3420CAFEB951,866900000,51,-735,1570715232.066838,0
0,3034CB1FE04D31E013877419,866900000,40,-747,1570715232.0683908,0
0,3034CB1FE04D3D203A9C45C0,866900000,21,-729,1570715232.080322,0
0,30347A12301D87C59682FF27,866900000,59,-729,1570715232.083241,0
0,3034CB1FE04D33E0AD3F4E1A,866900000,33,-729,1570715232.0872688,0
0,30347A12301D52859682FF78,866900000,4,-754,1570715232.088223,0
0,3034CB1FE04D3220AF16BDD6,866900000,42,-747,1570715232.0953019,0
0,30347A12301D56859682FF5C,866900000,18,-735,1570715232.10023,0
0,E28011700000020EC2506956,866900000,36,-488,1570715232.1101902,1
0,E28011700000020EC2506957,866900000,6,-627,1570715232.1172106,1
0,E28011700000020EC250715C,866900000,44,-548,1570715232.1192222,1
0,30347A12301D8FC59682FEFA,866900000,2,-687,1570715232.1303961,0
0,3034CB1FE04D3AE0F2E5B23F,866900000,36,-789,1570715232.1393466,0
0,30347A12301D87E89FFF9563,866900000,63,-747,1570715232.1433456,0
0,30347A12301D61C59682FFB7,866900000,62,-747,1570715232.1483119,0
0,3034CB1FE04D33E0AD3F4E1A,866900000,44,-710,1570715232.1603358,0
0,E28011700000020EC250695D,866900000,19,-669,1570715232.164232,1
0,E28011700000020EC2507057,866900000,56,-548,1570715232.168194,1
0,30347A12301D63059682FFB1,866900000,27,-609,1570715232.173221,0
0,E28011700000020EC2507056,866900000,7,-500,1570715232.180217,1
0,E28011700000020EC250705C,866900000,5,-440,1570715232.184222,1
0,E28011700000020EC250705D,866900000,52,-418,1570715232.192496,1
