beam_id,epc,frequency,phase,rssi,time,in_box
0,30347A125C272A059682FF3E,866900000,20,-669,1570715352.336033,0
0,30347A12301D53C59682FFA4,866900000,55,-719,1570715352.3381028,0
0,30347A12301D62059682FFBF,866900000,48,-762,1570715352.3444061,0
0,30347A12301D7F859682FF15,866900000,19,-779,1570715352.3483028,0
0,30347A12301D59859682FFA3,866900000,11,-634,1570715352.3531868,0
0,30347A12301D5C459682FF71,866900000,44,-762,1570715352.355339,0
0,30347A125C272BC59682FF35,866900000,59,-741,1570715352.37335,0
0,30347A12301D8F859682FEF5,866900000,42,-747,1570715352.3983626,0
0,30347A12301D63059682FFB1,866900000,2,-609,1570715352.4015481,0
0,30347A12301D5F059682FF79,866900000,18,-729,1570715352.4207141,0
0,E28011700000020EC250705D,866900000,9,-566,1570715352.424474,1
0,30347A12301D5C32FDDFFC64,866900000,23,-729,1570715352.4304829,0
0,30347A12301D54459682FF96,866900000,2,-669,1570715352.437299,0
0,30347A12301D8FC59682FEFA,866900000,19,-694,1570715352.437593,0
0,30347A12301D87859682FF10,866900000,29,-687,1570715352.4443052,0
0,30347A12301D60459682FF90,866900000,14,-762,1570715352.4520588,0
0,30347A12301D68859682FF6E,866900000,47,-754,1570715352.457056,0
0,30347A12301DD0859682FF8D,866900000,60,-770,1570715352.4590454,0
0,30347A12301D5C859682FF73,866900000,38,-581,1570715352.474237,0
0,30347A12301D52859682FF78,866900000,59,-620,1570715352.478431,0
0,30347A12301D7F059682FF14,866900000,32,-609,1570715352.484493,0
0,E28011700000020EC2507056,866900000,13,-478,1570715352.489631,1
0,E28011700000020EC2506956,866900000,8,-488,1570715352.4934762,1
0,30347A12301D59859682FFA3,866900000,18,-620,1570715352.495656,0
0,30347A125C272AC59682FF3B,866900000,27,-741,1570715352.5061631,0
0,30347A125C272B059682FF37,866900000,49,-735,1570715352.5100288,0
0,E28011700000020EC250705C,866900000,10,-566,1570715352.516211,1
0,30347A125C272A059682FF3E,866900000,32,-674,1570715352.520034,0
0,30347A12301D59459682FF7A,866900000,0,-754,1570715352.524044,0
0,30347A12301D87C59682FF27,866900000,30,-649,1570715352.5301068,0
0,30347A12301D88C59682FF2A,866900000,27,-669,1570715352.532038,0
0,30347A12301D53859682FF98,866900000,23,-694,1570715352.543468,0
0,30347A12301D62059682FFBF,866900000,32,-729,1570715352.5474198,0
0,E28011700000020EC250715C,866900000,55,-680,1570715352.5525491,1
0,30347A125C272D059682FF4C,866900000,59,-694,1570715352.5594368,0
0,30347A12301D68859682FF6E,866900000,53,-747,1570715352.563354,0
0,30347A12301D5F059682FF79,866900000,34,-694,1570715352.567224,0
0,30347A12301D82C59682FF03,866900000,58,-710,1570715352.5711038,0
0,30347A125C272AC59682FF3A,866900000,61,-687,1570715352.5761778,0
0,E28011700000020EC250695C,866900000,50,-614,1570715352.580108,1
0,30347A12301D77059682FF17,866900000,13,-719,1570715352.587016,0
0,30347A12301D6BC59682FF67,866900000,42,-659,1570715352.591542,0
0,30347A12301D52459682FF65,866900000,15,-754,1570715352.596482,0
0,30347A12301D61059682FF58,866900000,23,-729,1570715352.6002474,0
0,30347A12301D54459682FF96,866900000,20,-634,1570715352.6057289,0
0,30347A12301D53C59682FFA4,866900000,11,-735,1570715352.615714,0
0,E28011700000020EC2506857,866900000,48,-620,1570715352.6246688,1
0,30347A12301D63059682FFB1,866900000,19,-649,1570715352.6304908,0
0,30347A12301D56859682FF5C,866900000,62,-729,1570715352.633238,0
0,30347A12301D74C59682FF8E,866900000,62,-659,1570715352.657176,0
0,30347A12301D59859682FFA3,866900000,55,-634,1570715352.661078,0
0,30347A125C272C059682FF4D,866900000,44,-687,1570715352.6652534,0
0,30347A12301D63859682FFB3,866900000,48,-598,1570715352.674488,0
0,30347A12301D5C459682FF71,866900000,14,-747,1570715352.679817,0
0,30347A125C272B059682FF38,866900000,2,-729,1570715352.683564,0
0,30347A125C272B059682FF39,866900000,56,-801,1570715352.688523,0
0,E28011700000020EC250705D,866900000,17,-614,1570715352.6943374,1
0,30347A12301D53859682FF98,866900000,34,-649,1570715352.698345,0
0,30347A12301D87859682FF10,866900000,11,-710,1570715352.700097,0
0,30347A12301D63459682FFB2,866900000,33,-729,1570715352.7103274,0
1,30347A125C272AC59682FF3B,866900000,45,-719,1570715352.7300901,0
1,30347A12301D63859682FFB3,866900000,16,-529,1570715352.7341874,0
1,E28011700000020EC250695C,866900000,24,-529,1570715352.7381592,1
1,30347A12301D63059682FFB1,866900000,5,-589,1570715352.743567,0
1,E28011700000020EC2507056,866900000,47,-488,1570715352.74932,1
1,30347A125C272C059682FF4D,866900000,50,-609,1570715352.753456,0
1,E28011700000020EC250705D,866900000,42,-598,1570715352.757355,1
1,E28011700000020EC250705C,866900000,8,-589,1570715352.763464,1
1,30347A12301D53C59682FFA4,866900000,29,-729,1570715352.7651386,0
1,30347A12301D87859682FF10,866900000,9,-729,1570715352.773348,0
1,30347A12301D52859682FF78,866900000,33,-762,1570715352.7850828,0
1,30347A125C272B059682FF38,866900000,24,-680,1570715352.7910578,0
1,30347A12301D63459682FFB2,866900000,19,-735,1570715352.794065,0
1,E28011700000020EC2506857,866900000,14,-614,1570715352.7990124,1
1,30347A12301D7AC59682FF1E,866900000,39,-754,1570715352.8029928,0
1,E28011700000020EC2506956,866900000,49,-573,1570715352.8050401,1
1,30347A12301D6BC59682FF67,866900000,51,-729,1570715352.815474,0
1,30347A125C272B059682FF38,866900000,54,-680,1570715352.824769,0
