beam_id,epc,frequency,phase,rssi,time,in_box
0,30347A12301D53C59682FFA4,866900000,58,-627,1570715313.390558,0
0,E28011700000020EC250705D,866900000,20,-614,1570715313.391044,1
0,30347A125C272AC59682FF31,866900000,40,-729,1570715313.3987381,0
0,30347A125C272AC59682FF3B,866900000,45,-741,1570715313.402627,0
0,30347A12301D52859682FF78,866900000,48,-762,1570715313.409815,0
0,30347A12301D8F459682FEF7,866900000,40,-609,1570715313.413768,0
0,E28011700000020EC2507056,866900000,27,-598,1570715313.417613,1
0,30347A12301D63059682FFB1,866900000,4,-641,1570715313.4194589,0
0,30347A12301D53859682FF98,866900000,45,-710,1570715313.430616,0
0,30347A12301D63459682FFB2,866900000,25,-729,1570715313.4324641,0
0,30347A12301D56859682FF5C,866900000,45,-719,1570715313.4647288,0
0,30347A12301D6BC59682FF67,866900000,27,-669,1570715313.468482,0
0,30347A12301D54059682FF97,866900000,35,-735,1570715313.4735339,0
0,30347A125C272B059682FF39,866900000,13,-801,1570715313.477556,0
0,E28011700000020EC2506956,866900000,11,-649,1570715313.482553,1
0,30347A125C272B059682FF38,866900000,16,-694,1570715313.488566,0
0,30347A125C272B059682FF34,866900000,38,-674,1570715313.4915109,0
0,E28011700000020EC250695C,866900000,54,-609,1570715313.497495,1
0,E28011700000020EC250705C,866900000,24,-548,1570715313.502458,1
0,30347A12301D5D059682FF46,866900000,55,-710,1570715313.506469,0
0,30347A12301D87059682FF11,866900000,48,-754,1570715313.5137699,0
0,30347A125C272B059682FF37,866900000,18,-710,1570715313.5175614,0
0,30347A12301D52459682FF65,866900000,20,-735,1570715313.5226269,0
0,30347A12301D63859682FFB3,866900000,38,-609,1570715313.523492,0
0,E28011700000020EC250705D,866900000,3,-560,1570715313.5677812,1
0,30347A125C272B059682FF37,866900000,20,-729,1570715313.571746,0
0,30347A12301D5C859682FF73,866900000,16,-680,1570715313.577909,0
0,E28011700000020EC2506956,866900000,18,-566,1570715313.581965,1
0,30347A125C272AC59682FF3B,866900000,15,-680,1570715313.585841,0
0,30347A12301D63059682FFB1,866900000,11,-620,1570715313.589892,0
0,30347A12301D63859682FFB3,866900000,15,-573,1570715313.593764,0
0,30347A125C272B059682FF38,866900000,59,-674,1570715313.597825,0
0,E28011700000020EC2506857,866900000,23,-589,1570715313.603648,1
0,E28011700000020EC250705C,866900000,35,-478,1570715313.604525,1
0,30347A12301D8F459682FEF7,866900000,47,-649,1570715313.6176152,0
0,30347A125C272B059682FF39,866900000,47,-754,1570715313.6224706,0
0,E28011700000020EC2507056,866900000,54,-494,1570715313.6278212,1
0,E28011700000020EC250695C,866900000,5,-566,1570715313.634607,1
0,30347A12301D53C59682FFA4,866900000,10,-762,1570715313.639502,0
0,30347A12301D5D059682FF46,866900000,4,-729,1570715313.640735,0
1,30347A12301D87859682FF10,866900000,31,-669,1570715313.657912,0
1,E28011700000020EC2506956,866900000,41,-513,1570715313.66178,1
1,30347A12301D68459682FEF2,866900000,44,-710,1570715313.6666381,0
1,30347A12301D74C59682FF8E,866900000,16,-762,1570715313.6707242,0
1,E28011700000020EC250705D,866900000,19,-649,1570715313.6744962,1
1,E28011700000020EC250695C,866900000,48,-710,1570715313.678494,1
1,30347A12301D61059682FF58,866900000,6,-719,1570715313.682487,0
1,3034CB1FE04D32609109168A,866900000,44,-747,1570715313.686474,0
1,30347A12301D67059682FF68,866900000,19,-701,1570715313.690461,0
1,E28011700000020EC2507057,866900000,62,-620,1570715313.694855,1
1,E28011700000020EC2507056,866900000,55,-598,1570715313.698716,1
1,30347A12301D63059682FFB1,866900000,45,-694,1570715313.7048821,0
1,30347A12301D63C59682FF74,866900000,25,-674,1570715313.7058382,0
1,30347A12301D7F059682FF14,866900000,48,-659,1570715313.719114,0
1,E28011700000020EC2506857,866900000,5,-614,1570715313.7239199,1
1,30347A12301D8F459682FEF7,866900000,54,-735,1570715313.727801,0
1,3034CB1FE04D3EA0730635B0,866900000,53,-735,1570715313.7417939,0
1,E28011700000020EC250705C,866900000,5,-573,1570715313.747513,1
1,30347A125C272B059682FF38,866900000,54,-741,1570715313.748482,0
1,30347A12301D53C59682FFA4,866900000,55,-754,1570715313.758482,0
1,3034CB1FE04D33E08AA57356,866900000,30,-735,1570715313.769624,0
1,E28011700000020EC2507057,866900000,15,-581,1570715313.774783,1
1,E28011700000020EC250705C,866900000,62,-538,1570715313.778682,1
1,30347A12301D63C59682FF74,866900000,24,-762,1570715313.7838712,0
1,E28011700000020EC2506956,866900000,54,-529,1570715313.787841,1
1,30347A12301D6BC59682FF67,866900000,55,-659,1570715313.7918391,0
1,E28011700000020EC250695C,866900000,37,-521,1570715313.796816,1
1,30347A12301D63459682FFB2,866900000,20,-719,1570715313.800622,0
