beam_id,epc,frequency,phase,rssi,time
0,E2806894000040020364F88D,866900000,30,-434,1570716495.360885
0,E2806894000040020364F48D,866900000,49,-478,1570716495.370933
0,E2806894000040020365188D,866900000,48,-554,1570716495.375186
0,E2806894000040020365148D,866900000,47,-478,1570716495.37896
0,E2806894000050020365108D,866900000,20,-573,1570716495.3851242
0,E2806894000050020365048D,866900000,25,-566,1570716495.38899
0,E2806894000050020364F08D,866900000,47,-488,1570716495.392854
0,E2806894000050020364FC8D,866900000,30,-560,1570716495.3980222
0,E2806894000050020365088D,866900000,46,-488,1570716495.401906
0,E28068940000400203650C8D,866900000,34,-478,1570716495.4078438
0,E28068940000400203650C8D,866900000,30,-478,1570716495.4181151
0,E2806894000050020365048D,866900000,33,-581,1570716495.423105
0,E2806894000040020365148D,866900000,44,-478,1570716495.427008
0,E2806894000050020365108D,866900000,27,-560,1570716495.431218
0,E2806894000040020364F88D,866900000,31,-440,1570716495.438424
0,E2806894000040020364F48D,866900000,49,-488,1570716495.449122
0,E2806894000050020364FC8D,866900000,37,-548,1570716495.4541922
0,E2806894000050020364F08D,866900000,44,-478,1570716495.455009
0,E2806894000050020365088D,866900000,44,-478,1570716495.464016
0,E2806894000040020365188D,866900000,59,-548,1570716495.468111
1,E2806894000040020364F48D,866900000,18,-581,1570716495.4882278
1,E2806894000050020365088D,866900000,1,-513,1570716495.492003
1,E28068940000400203650C8D,866900000,17,-573,1570716495.495962
1,E2806894000040020365148D,866900000,59,-554,1570716495.500121
1,E2806894000050020364F08D,866900000,37,-494,1570716495.5060954
1,E2806894000040020364F88D,866900000,24,-488,1570716495.511147
1,E2806894000050020365048D,866900000,44,-538,1570716495.5153391
1,E2806894000040020365188D,866900000,15,-614,1570716495.5191052
1,E2806894000050020365108D,866900000,12,-581,1570716495.5231009
1,E2806894000050020364FC8D,866900000,48,-589,1570716495.52596
1,E2806894000050020364F08D,866900000,44,-488,1570716495.536963
1,E2806894000040020364F88D,866900000,30,-478,1570716495.540838
1,E2806894000050020365108D,866900000,15,-566,1570716495.546844
1,E2806894000050020365048D,866900000,48,-538,1570716495.5508294
1,E2806894000040020365188D,866900000,20,-614,1570716495.555132
1,E2806894000040020364F48D,866900000,32,-548,1570716495.5592058
1,E2806894000040020365148D,866900000,12,-554,1570716495.562998
1,E28068940000400203650C8D,866900000,26,-566,1570716495.5649762
1,E2806894000050020365088D,866900000,10,-500,1570716495.578398
0,E2806894000040020364F88D,866900000,42,-434,1570716495.595
0,E2806894000040020365148D,866900000,58,-469,1570716495.603958
0,E2806894000050020364F08D,866900000,1,-469,1570716495.608844
0,E2806894000040020364F48D,866900000,59,-460,1570716495.6148171
0,E2806894000050020365088D,866900000,52,-469,1570716495.6178648
0,E28068940000400203650C8D,866900000,48,-453,1570716495.6187992
0,E2806894000050020365108D,866900000,41,-566,1570716495.627101
0,E2806894000050020365048D,866900000,48,-598,1570716495.633004
0,E2806894000040020365188D,866900000,10,-538,1570716495.633943
0,E2806894000040020364F88D,866900000,44,-418,1570716495.6454759
0,E2806894000050020365088D,866900000,51,-478,1570716495.650485
0,E2806894000050020364FC8D,866900000,51,-529,1570716495.653137
0,E28068940000400203650C8D,866900000,49,-446,1570716495.663031
0,E2806894000040020364F48D,866900000,59,-460,1570716495.666964
0,E2806894000050020365048D,866900000,56,-614,1570716495.6689038
0,E2806894000040020365148D,866900000,58,-460,1570716495.677875
0,E2806894000040020365188D,866900000,15,-538,1570716495.6817842
0,E2806894000050020364F08D,866900000,62,-453,1570716495.683805
0,E2806894000050020365108D,866900000,42,-573,1570716495.690144
1,E2806894000040020364F48D,866900000,58,-538,1570716495.714377
1,E2806894000050020365108D,866900000,30,-548,1570716495.718386
1,E2806894000050020364F08D,866900000,3,-478,1570716495.72411
1,E2806894000040020365148D,866900000,33,-609,1570716495.7278981
1,E2806894000050020365088D,866900000,9,-494,1570716495.731843
1,E2806894000050020364FC8D,866900000,38,-634,1570716495.7409658
1,E2806894000040020364F88D,866900000,36,-529,1570716495.742846
1,E2806894000050020365048D,866900000,48,-554,1570716495.756834
1,E2806894000040020365188D,866900000,44,-598,1570716495.7681394
1,E2806894000050020364FC8D,866900000,41,-659,1570716495.771991
1,E2806894000050020365048D,866900000,50,-560,1570716495.774085
1,E28068940000400203650C8D,866900000,17,-609,1570716495.7824821
1,E2806894000050020365108D,866900000,38,-548,1570716495.7862148
1,E2806894000040020364F88D,866900000,40,-538,1570716495.790019
1,E2806894000050020364F08D,866900000,11,-478,1570716495.7948608
1,E2806894000050020365088D,866900000,12,-488,1570716495.795837
1,E2806894000040020365188D,866900000,45,-609,1570716495.808976
1,E2806894000040020365148D,866900000,55,-614,1570716495.8168352
1,E2806894000040020364F48D,866900000,10,-538,1570716495.8208454
0,E2806894000050020365108D,866900000,51,-598,1570716495.8393722
0,E2806894000050020365088D,866900000,51,-469,1570716495.844466
0,E2806894000040020365188D,866900000,19,-538,1570716495.854134
0,E2806894000040020364F88D,866900000,54,-434,1570716495.859961
0,E2806894000050020364FC8D,866900000,47,-513,1570716495.8638332
0,E2806894000040020365148D,866900000,7,-469,1570716495.864817
0,E2806894000050020365048D,866900000,15,-598,1570716495.8789492
0,E2806894000050020364F08D,866900000,60,-446,1570716495.882808
0,E2806894000040020364F48D,866900000,15,-478,1570716495.8837779
0,E2806894000050020364F08D,866900000,58,-446,1570716495.902485
0,E2806894000040020364F88D,866900000,52,-428,1570716495.9061089
0,E2806894000040020364F48D,866900000,18,-469,1570716495.9103858
0,E2806894000050020365088D,866900000,7,-453,1570716495.9174151
0,E2806894000050020365048D,866900000,5,-566,1570716495.921078
0,E2806894000040020365188D,866900000,6,-538,1570716495.9259489
0,E2806894000050020364FC8D,866900000,55,-488,1570716495.9268382
0,E2806894000040020365148D,866900000,16,-494,1570716495.938952
0,E28068940000400203650C8D,866900000,24,-494,1570716495.939827
0,E2806894000050020365108D,866900000,55,-560,1570716495.946808
1,E2806894000050020364FC8D,866900000,60,-589,1570716495.9651918
1,E2806894000050020365088D,866900000,40,-453,1570716495.9700556
1,E28068940000400203650C8D,866900000,28,-548,1570716495.973284
1,E2806894000050020365108D,866900000,48,-609,1570716495.979156
1,E2806894000040020364F48D,866900000,10,-488,1570716495.9850726
1,E2806894000050020365048D,866900000,6,-538,1570716495.9901106
