beam_id,epc,frequency,phase,rssi,time,in_box
0,E2806894000050020365048D,866900000,49,-478,1570716955.820996,1
0,E2806894000050020365088D,866900000,16,-521,1570716955.8230138,1
0,E2806894000040020364F88D,866900000,31,-368,1570716955.8250039,1
0,30347A12301D67059682FF68,866900000,13,-694,1570716955.835129,0
0,30347A12301D87859682FF10,866900000,47,-659,1570716955.8391402,0
0,30347A12301D52859682FF78,866900000,41,-669,1570716955.843176,0
0,E2806894000050020364FC8D,866900000,30,-694,1570716955.847224,1
0,E2806894000050020364F08D,866900000,2,-573,1570716955.854034,1
0,30347A12301D87059682FF11,866900000,9,-669,1570716955.8583732,0
0,30347A12301D63C59682FF74,866900000,49,-620,1570716955.862998,0
0,30347A12301D62059682FFBF,866900000,15,-729,1570716955.8710651,0
0,E28068940000400203650C8D,866900000,48,-373,1570716955.8763258,1
0,30347A12301D63459682FFB2,866900000,8,-669,1570716955.8801954,0
0,3034CB1FE04D3EA0730635B0,866900000,44,-741,1570716955.885279,0
0,30347A125C272B059682FF34,866900000,13,-687,1570716955.891113,0
0,30347A12301D63859682FFB4,866900000,27,-741,1570716955.8966954,0
0,30347A12301D56859682FF5C,866900000,59,-729,1570716955.900531,0
0,E2806894000040020365148D,866900000,15,-521,1570716955.904418,1
0,30347A12301D63059682FFB1,866900000,58,-649,1570716955.908828,0
0,30347A12301D63859682FFB3,866900000,15,-609,1570716955.913155,0
0,30347A125C272AC59682FF3B,866900000,62,-694,1570716955.923074,0
0,30347A125C2729459682FF50,866900000,42,-729,1570716955.9441519,0
0,E2806894000050020365108D,866900000,23,-589,1570716955.9479866,1
0,30347A12301D6BC59682FF67,866900000,48,-641,1570716955.952987,0
0,30347A12301D87059682FF12,866900000,38,-729,1570716955.957119,0
0,E2806894000040020365188D,866900000,18,-529,1570716955.959314,1
0,30347A125C272C059682FF4D,866900000,50,-627,1570716955.971179,0
0,30347A12301D8FC59682FEFA,866900000,26,-659,1570716955.980267,0
0,E2806894000040020365188D,866900000,16,-529,1570716956.0256672,1
0,30347A12301D67059682FF68,866900000,62,-674,1570716956.029488,0
0,30347A12301D87859682FF10,866900000,38,-614,1570716956.0356226,0
0,30347A125C272B059682FF37,866900000,46,-649,1570716956.039331,0
0,30347A125C272B059682FF34,866900000,14,-701,1570716956.0434198,0
0,E2806894000040020364F48D,866900000,9,-386,1570716956.0473108,1
0,30347A125C2729EE759FCEF4,866900000,19,-609,1570716956.0521288,0
0,30347A12301D61C59682FFB7,866900000,38,-729,1570716956.056212,0
0,E2806894000040020365148D,866900000,0,-538,1570716956.060083,1
0,E2806894000040020364F88D,866900000,12,-393,1570716956.06401,1
0,E28068940000400203650C8D,866900000,51,-368,1570716956.073001,1
0,E2806894000050020364F08D,866900000,17,-566,1570716956.0770614,1
0,30347A12301D63859682FFB3,866900000,5,-573,1570716956.0851114,0
0,30347A12301D63059682FFB1,866900000,38,-627,1570716956.088042,0
0,30347A125C272B059682FF38,866900000,20,-649,1570716956.092316,0
0,3034CB1FE04D342039D18773,866900000,63,-741,1570716956.0959866,0
0,30347A125C272AC59682FF3B,866900000,43,-694,1570716956.0999699,0
0,30347A12301D8F459682FEF7,866900000,63,-674,1570716956.1039748,0
0,30347A12301D63459682FFB2,866900000,52,-659,1570716956.105942,0
0,30347A12301D77059682FF17,866900000,5,-659,1570716956.1153214,0
0,30347A12301D87059682FF11,866900000,62,-680,1570716956.11929,0
0,30347A125C272C059682FF4D,866900000,47,-627,1570716956.1253288,0
0,30347A12301D61059682FFBC,866900000,49,-735,1570716956.129318,0
0,3034CB1FE04D3420CAFEB951,866900000,59,-701,1570716956.140126,0
0,30347A12301D5C859682FF73,866900000,63,-674,1570716956.1452868,0
0,E2806894000050020365108D,866900000,21,-573,1570716956.1603632,1
0,30347A12301D6BC59682FF67,866900000,37,-641,1570716956.167048,0
0,E2806894000050020365048D,866900000,33,-488,1570716956.1749918,1
0,E2806894000050020365088D,866900000,18,-589,1570716956.185164,1
0,30347A12301D62059682FFBF,866900000,13,-719,1570716956.190305,0
0,30347A12301D63C59682FF74,866900000,31,-687,1570716956.199284,0
1,30347A12301D77059682FF17,866900000,57,-729,1570716956.236139,0
1,3034CB1FE04D3C201037B082,866900000,20,-747,1570716956.2400582,0
1,30347A12301D87C59682FF28,866900000,5,-747,1570716956.244038,0
1,E2806894000050020365108D,866900000,45,-488,1570716956.248008,1
1,E2806894000050020365048D,866900000,9,-428,1570716956.255108,1
1,E2806894000040020365148D,866900000,23,-729,1570716956.261153,1
1,E2806894000040020365188D,866900000,30,-494,1570716956.2699811,1
1,30347A12301D63C59682FF74,866900000,23,-719,1570716956.273958,0
1,E28068940000400203650C8D,866900000,33,-513,1570716956.277962,1
1,3034CB1FE04D3DA0B241C63A,866900000,31,-701,1570716956.2822099,0
1,3034CB1FE04D34601F973C5D,866900000,47,-754,1570716956.289134,0
1,E2806894000040020364F48D,866900000,55,-609,1570716956.29423,1
1,3034CB1FE04D40205B286CA3,866900000,59,-741,1570716956.2999961,0
1,3034CB1FE04D34E0747C5406,866900000,22,-747,1570716956.303949,0
1,E2806894000050020365088D,866900000,48,-566,1570716956.306924,1
1,3034CB1FE04D3520628BBD65,866900000,18,-701,1570716956.3171039,0
1,3034CB1FE04D3C20A1AD9839,866900000,8,-741,1570716956.327691,0
1,3034CB1FE04D33E0AD3F4E1A,866900000,39,-719,1570716956.332651,0
1,30347A125C272B059682FF38,866900000,25,-710,1570716956.33951,0
1,3034CB1FE04D3D20FCCC9863,866900000,52,-770,1570716956.345241,0
1,3034CB1FE04D33E0FDF3A056,866900000,11,-741,1570716956.3492546,0
1,30347A12301D63059682FFB1,866900000,9,-634,1570716956.356124,0
1,3034CB1FE04D3DE07E006435,866900000,22,-710,1570716956.372129,0
1,E2806894000050020364F08D,866900000,16,-500,1570716956.3799858,1
1,E2806894000050020364F08D,866900000,17,-506,1570716956.393716,1
1,E2806894000050020365048D,866900000,62,-488,1570716956.397351,1
1,E2806894000040020364F48D,866900000,46,-634,1570716956.4011471,1
1,E2806894000050020365108D,866900000,26,-529,1570716956.4032881,1
1,30347A12301D63059682FFB1,866900000,37,-589,1570716956.413333,0
1,E28068940000400203650C8D,866900000,14,-529,1570716956.4231038,1
1,3034CB1FE04D34205848D3CB,866900000,51,-747,1570716956.4262679,0
1,3034CB1FE04D3DA083A312EA,866900000,48,-710,1570716956.4371068,0
1,E2806894000050020364FC8D,866900000,17,-538,1570716956.4449868,1
1,3034CB1FE04D3DA0B241C63A,866900000,59,-701,1570716956.45006,0
1,E2806894000050020365088D,866900000,14,-500,1570716956.4542801,1
1,3034CB1FE04D3520628BBD65,866900000,43,-770,1570716956.4562938,0
1,30347A125C272B059682FF38,866900000,41,-729,1570716956.467604,0
1,3034CB1FE04D34A0CA1030F1,866900000,22,-710,1570716956.4834292,0
1,30347A12301D52859682FF78,866900000,22,-735,1570716956.494192,0
1,3034CB1FE04D3DE047DA2052,866900000,4,-762,1570716956.49798,0
1,3034CB1FE04D34A0CA1030F1,866900000,19,-729,1570716956.503005,0
1,30347A125C2729459682FF50,866900000,4,-701,1570716956.5069768,0
1,E2806894000040020365188D,866900000,47,-566,1570716956.5119624,1
1,3034CB1FE04D3C201037B082,866900000,16,-741,1570716956.517952,0
1,3034CB1FE04D3EA0CC5EEA22,866900000,36,-747,1570716956.522943,0
1,30347A12301D86C59682FF0D,866900000,1,-779,1570716956.526923,0
1,3034CB1FE04D40202B9C2FEB,866900000,35,-747,1570716956.532187,0
1,3034CB1FE04D3DE07E006435,866900000,40,-719,1570716956.538188,0
1,3034CB1FE04D3C20A1AD9839,866900000,12,-754,1570716956.546298,0
1,3034CB1FE04D3420E7EC47FA,866900000,9,-770,1570716956.549452,0
0,E28068940000400203650C8D,866900000,58,-680,1570716956.571166,1
0,E2806894000050020365088D,866900000,38,-453,1570716956.5729358,1
0,E2806894000050020364F08D,866900000,15,-521,1570716956.583294,1
0,30347A12301D63C59682FF74,866900000,47,-669,1570716956.587157,0
0,30347A12301D67059682FF68,866900000,10,-687,1570716956.5913026,0
0,E2806894000040020364F48D,866900000,0,-460,1570716956.595165,1
0,30347A12301D67859682FEF3,866900000,4,-741,1570716956.5992498,0
