beam_id,epc,frequency,phase,rssi,time,in_box
0,E2806894000050020365088D,866900000,1,-446,1570716908.212828,1
0,E2806894000040020365188D,866900000,2,-554,1570716908.215796,1
0,30347A12301D51459682FF61,866900000,42,-719,1570716908.2211158,0
0,E28068940000400203650C8D,866900000,22,-566,1570716908.2260714,1
0,30347A12301D7F059682FF14,866900000,47,-634,1570716908.230177,0
0,E2806894000040020364F48D,866900000,14,-478,1570716908.233904,1
0,E2806894000040020364F88D,866900000,48,-469,1570716908.238126,1
0,E2806894000050020364FC8D,866900000,34,-529,1570716908.241932,1
0,E2806894000050020364F08D,866900000,25,-434,1570716908.247951,1
0,30347A12301D56859682FF7D,866900000,2,-694,1570716908.251938,0
0,30347A12301D87059682FF11,866900000,16,-687,1570716908.25583,0
0,30347A12301D77059682FF17,866900000,6,-614,1570716908.2627711,0
0,E2806894000050020365108D,866900000,33,-614,1570716908.266825,1
0,30347A12301D63859682FFB3,866900000,46,-634,1570716908.2710311,0
0,E2806894000040020365148D,866900000,44,-488,1570716908.275136,1
0,30347A12301D8F459682FEF7,866900000,57,-641,1570716908.2789302,0
0,30347A12301D7E059682FF05,866900000,63,-729,1570716908.282924,0
0,30347A12301D87059682FF12,866900000,52,-680,1570716908.285034,0
0,30347A12301D8FC59682FEFA,866900000,44,-701,1570716908.2910528,0
0,E2806894000050020365048D,866900000,32,-548,1570716908.301161,1
0,30347A12301D75059682FF19,866900000,61,-641,1570716908.3071182,0
0,30347A12301D88C59682FF2A,866900000,59,-659,1570716908.3099232,0
0,30347A12301D86C59682FF0D,866900000,21,-729,1570716908.320931,0
0,30347A12301DD1859682FF99,866900000,25,-747,1570716908.3227806,0
0,30347A12301D88C59682FF29,866900000,25,-649,1570716908.3410301,0
0,3034CB1FE04D3DE078D36F63,866900000,15,-747,1570716908.345979,0
0,30347A12301D52859682FF78,866900000,50,-669,1570716908.352043,0
0,30347A12301D87C59682FF28,866900000,31,-659,1570716908.35711,0
0,30347A12301D61059682FF58,866900000,24,-659,1570716908.357883,0
0,30347A12301D61C59682FFB8,866900000,3,-779,1570716908.378908,0
0,3034CB1FE04D3C202435E66A,866900000,2,-741,1570716908.3939009,0
0,E2806894000050020365108D,866900000,30,-641,1570716908.396777,1
0,E2806894000050020364FC8D,866900000,40,-548,1570716908.4027991,1
