beam_id,epc,frequency,phase,rssi,time,in_box
0,E2806894000040020365188D,866900000,8,-573,1570716836.0825944,1
0,E2806894000040020364F88D,866900000,62,-446,1570716836.088528,1
0,30347A125C2729459682FF50,866900000,60,-747,1570716836.090647,0
0,30347A12301D87059682FF11,866900000,4,-719,1570716836.109905,0
0,E2806894000040020365148D,866900000,29,-469,1570716836.115676,1
0,3034CB1FE04D3DE078D36F63,866900000,29,-719,1570716836.1207669,0
0,30347A12301D6BC59682FF81,866900000,41,-687,1570716836.1285682,0
0,30347A12301D63059682FFB0,866900000,14,-747,1570716836.133464,0
0,E28068940000400203650C8D,866900000,5,-529,1570716836.1384478,1
0,E2806894000040020364F48D,866900000,8,-428,1570716836.149502,1
0,30347A12301D62C59682FFA8,866900000,24,-719,1570716836.153725,0
0,30347A125C272A059682FF3E,866900000,33,-701,1570716836.157891,0
0,30347A12301D59859682FFA3,866900000,17,-649,1570716836.162931,0
0,30347A125C272C059682FF4D,866900000,45,-674,1570716836.168635,0
0,30347A125C272B059682FF39,866900000,56,-701,1570716836.171684,0
0,30347A12301D63859682FFB3,866900000,51,-649,1570716836.175634,0
0,E2806894000050020365108D,866900000,51,-634,1570716836.179498,1
0,30347A12301D61059682FF58,866900000,25,-687,1570716836.184476,0
0,30347A12301D56859682FF7D,866900000,49,-710,1570716836.1874628,0
0,30347A12301DD0859682FF8D,866900000,6,-719,1570716836.197886,0
0,30347A12301D87059682FF12,866900000,32,-694,1570716836.202852,0
0,30347A12301D87C59682FF22,866900000,37,-710,1570716836.205837,0
0,3034CB1FE04D3460F40AC140,866900000,28,-710,1570716836.2108428,0
0,30347A125C272D059682FF4C,866900000,4,-687,1570716836.215961,0
0,E2806894000050020364FC8D,866900000,7,-548,1570716836.2243721,1
0,30347A12301D77059682FF17,866900000,56,-609,1570716836.227788,0
0,E2806894000040020364F48D,866900000,16,-409,1570716836.2316658,1
0,E28068940000400203650C8D,866900000,13,-521,1570716836.235541,1
0,30347A12301D5C859682FF73,866900000,3,-627,1570716836.239784,0
0,30347A125C272D059682FF4C,866900000,5,-680,1570716836.246552,0
0,E2806894000040020365148D,866900000,43,-440,1570716836.250492,1
0,30347A12301D87C59682FF28,866900000,23,-669,1570716836.2545109,0
0,E2806894000050020365108D,866900000,8,-634,1570716836.256491,1
0,30347A125C272B059682FF38,866900000,19,-762,1570716836.264784,0
0,E2806894000040020364F88D,866900000,16,-418,1570716836.2687948,1
0,30347A12301D87059682FF11,866900000,59,-719,1570716836.272783,0
0,E2806894000050020364F08D,866900000,37,-469,1570716836.277698,1
0,30347A12301D63859682FFB3,866900000,54,-659,1570716836.281933,0
0,30347A12301D87C59682FF27,866900000,7,-719,1570716836.286297,0
0,30347A12301D8F459682FEF7,866900000,61,-649,1570716836.2897851,0
0,30347A12301D61059682FF58,866900000,15,-669,1570716836.2937882,0
0,30347A12301D5C459682FF71,866900000,25,-770,1570716836.297674,0
0,E2806894000050020365088D,866900000,25,-453,1570716836.301718,1
