epc,rssi,phase,beam_id,frequency,time
E28011700000020D350CABCF,-687,18,0,866900000,1572351260.220963
E28011700000020D350CE1BE,-609,29,0,866900000,1572351260.2233238
3035345E3C3F63D99C8325ED,-674,16,0,866900000,1572351260.227632
3035345E3C3F5E199C8325E4,-634,16,0,866900000,1572351260.232557
3035345E3C2A6763A9EDAD50,-560,44,0,866900000,1572351260.236353
E28011700000020D350CAB2F,-620,7,0,866900000,1572351260.240203
3035345E3C3F5E199C8325E5,-649,35,0,866900000,1572351260.2478411
3035345E403DBF199C838554,-687,38,0,866900000,1572351260.251075
E28068100000003931D50A78,-729,30,0,866900000,1572351260.2561688
E28068100000003931D50D02,-719,49,0,866900000,1572351260.261096
E28068100000003931D50A64,-747,5,0,866900000,1572351260.2622108
3035345E3C40B3D99C8327F9,-649,13,0,866900000,1572351260.2736619
E28068100000003931D50CEE,-659,6,0,866900000,1572351260.277282
3035345E3C2B40999C8314BE,-674,10,0,866900000,1572351260.2834911
E28068100000003931D50CDA,-710,30,0,866900000,1572351260.2873511
3035345E403DBDD99C838553,-719,17,0,866900000,1572351260.2910874
3035345E3C40B3D99C8327FA,-634,14,0,866900000,1572351260.2950046
3035345E3C1C2F999C830906,-741,16,0,866900000,1572351260.301327
E28011700000020D350CABEF,-741,27,0,866900000,1572351260.3044019
E28011700000020D350CC58F,-620,41,0,866900000,1572351260.304624
3035345E3C3E74999C8324A3,-710,46,0,866900000,1572351260.3133788
E28068100000003931D4FE09,-735,57,0,866900000,1572351260.318217
E28068100000003931D50CC6,-694,11,0,866900000,1572351260.3223412
E28011700000020D350CABDF,-674,1,0,866900000,1572351260.327395
E28011700000020D350CC400,-701,30,0,866900000,1572351260.3310769
3035345E3C3E44199C832448,-701,36,0,866900000,1572351260.335093
E28011700000020D350CC59F,-659,9,0,866900000,1572351260.344327
3035345E3C3F5E199C8325E5,-641,30,0,866900000,1572351260.356129
3035345E3C40B3D99C8327FA,-634,9,0,866900000,1572351260.360136
3035345E3C2A6763A9EDAD50,-573,38,0,866900000,1572351260.3620539
E28011700000020D350CC59F,-659,10,0,866900000,1572351260.372283
3035345E3C434FD99C832A45,-795,61,0,866900000,1572351260.3771362
3035345E3C3F63D99C8325ED,-674,11,0,866900000,1572351260.381252
E28011700000020D350CC58F,-614,47,0,866900000,1572351260.3914778
E28068100000003931D4FE09,-729,4,0,866900000,1572351260.395127
E28068100000003931D50CC6,-719,15,0,866900000,1572351260.400317
3035345E3C3F5CD99C8325E3,-649,2,0,866900000,1572351260.40605
E28068100000003931D50CEE,-649,5,0,866900000,1572351260.4090312
3035345E3C446B999C832C29,-741,31,0,866900000,1572351260.4132328
3035345E3C3F5E199C8325E4,-627,8,0,866900000,1572351260.4181418
3035345E3C4693599C832E6F,-674,3,0,866900000,1572351260.4330082
E28068100000003931D50CDA,-719,38,0,866900000,1572351260.437301
E28068100000003931D50D02,-710,60,0,866900000,1572351260.440097
3035345E403DBDD99C838553,-729,27,0,866900000,1572351260.4446769
3035345E3C2B40999C8314BE,-669,3,0,866900000,1572351260.44976
E28011700000020D350CABEF,-754,47,0,866900000,1572351260.45631
E28011700000020D350CABDF,-669,8,0,866900000,1572351260.457088
E28011700000020D350CE1BE,-589,23,0,866900000,1572351260.4753
3035345E3C3B38199C83212A,-659,55,0,866900000,1572351260.4791198
E28011700000020D350CAB2F,-614,9,0,866900000,1572351260.4822118
3035345E3C40B3D99C8327F9,-641,57,0,866900000,1572351260.491164
E28011700000020D350CABFF,-710,21,0,866900000,1572351260.496162
E28011700000020D350CC400,-719,23,0,866900000,1572351260.5017312
E28011700000020D350CAB3F,-729,49,0,866900000,1572351260.5072381
3035345E3C446B999C832C2A,-735,7,0,866900000,1572351260.511656
E28011700000020D350CABCF,-694,63,0,866900000,1572351260.518045
3035345E3C3D78199C83236B,-762,29,0,866900000,1572351260.519095
3035345E3C434FD99C832A45,-729,37,1,866900000,1572351260.5372221
E28011700000020D350CAB2F,-627,63,1,866900000,1572351260.541121
3035345E3C3C90D99C8322A1,-649,41,1,866900000,1572351260.547116
3035345E3C4448599C832BA0,-770,25,1,866900000,1572351260.551394
3035345E3C1D06199C8309C4,-620,34,1,866900000,1572351260.5550811
3035345E3C44B1999C832C91,-680,31,1,866900000,1572351260.557152
3035345E3C46BC199C832EBF,-710,2,1,866900000,1572351260.568292
3035345E3C44B1999C832C90,-674,48,1,866900000,1572351260.571006
E28011700000020D350CAB3F,-680,17,1,866900000,1572351260.5741189
E28011700000020D350CE1BE,-627,37,1,866900000,1572351260.579417
E28068100000003931D50CEE,-687,52,1,866900000,1572351260.583388
3035345E3C43CC999C832AED,-680,15,1,866900000,1572351260.588067
3035345E3C4447999C832B9F,-687,50,1,866900000,1572351260.594153
3035345E3C43E2D99C832B07,-701,12,1,866900000,1572351260.600163
3035345E3C43CC599C832AEB,-641,49,1,866900000,1572351260.6043
