epc,rssi,phase,beam_id,frequency,time
E28068100000003931D50D02,-719,3,0,866900000,1572351209.8188534
3035345E3C1CF6199C8309C0,-669,59,0,866900000,1572351209.823287
E28068100000003931D50CEE,-694,10,0,866900000,1572351209.833573
3035345E3C434FD99C832A45,-735,12,0,866900000,1572351209.843458
E28011700000020D350CABEF,-649,63,0,866900000,1572351209.847544
3035345E3C1D06199C8309C4,-649,44,0,866900000,1572351209.8491
3035345E3C45B6D99C832DB8,-719,10,0,866900000,1572351209.859283
E28011700000020D350CABDF,-719,6,0,866900000,1572351209.862128
E28011700000020D350CC400,-839,13,0,866900000,1572351209.8763509
3035345E3C4436599C832B79,-729,46,0,866900000,1572351209.8793962
E28068100000003931D50CC6,-770,48,0,866900000,1572351209.884018
3035345E3C2B40999C8314BE,-710,44,0,866900000,1572351209.8934786
3035345E3C3FA9199C832666,-674,28,0,866900000,1572351209.894202
3035345E3C39F2D99C83201D,-729,3,0,866900000,1572351209.9053779
3035345E3C3D7AD99C832371,-735,24,0,866900000,1572351209.92351
3035345E3C1CF6199C8309C0,-669,56,0,866900000,1572351209.927149
3035345E3C3E44199C832448,-701,16,0,866900000,1572351209.9293141
3035345E3C4436599C832B79,-710,46,0,866900000,1572351209.946209
E28011700000020D350CE1BE,-680,31,0,866900000,1572351209.950228
3035345E403DBD999C838551,-701,21,0,866900000,1572351209.960445
3035345E3C1D06199C8309C4,-641,39,0,866900000,1572351209.9642618
E28011700000020D350CABEF,-634,61,0,866900000,1572351209.969415
3035345E3C3D7AD99C832371,-735,26,0,866900000,1572351209.9737349
3035345E3C3B89999C832194,-669,5,0,866900000,1572351209.9837599
E28011700000020D350CAB2F,-659,50,0,866900000,1572351209.9884238
3035345E3C1AE0199C8307E0,-729,18,0,866900000,1572351209.992317
3035345E3C3D83199C832373,-634,20,0,866900000,1572351209.9961529
3035345E3C45B6D99C832DB8,-741,10,0,866900000,1572351210.0011199
3035345E3C3D77599C83236A,-701,6,0,866900000,1572351210.0042212
3035345E403DBDD99C838552,-701,22,0,866900000,1572351210.017454
E28068100000003931D50CC6,-710,55,0,866900000,1572351210.023437
3035345E3C434FD99C832A45,-770,12,0,866900000,1572351210.0288339
3035345E403DBDD99C838553,-719,11,0,866900000,1572351210.03282
3035345E3C3F5E199C8325E4,-641,36,0,866900000,1572351210.03916
3035345E3C3FA9199C832666,-687,22,0,866900000,1572351210.0461912
3035345E3C4436599C832B78,-762,20,0,866900000,1572351210.052447
3035345E3C39CF199C832006,-680,21,0,866900000,1572351210.056184
E28068100000003931D50D02,-674,14,0,866900000,1572351210.062212
E28011700000020D350CC58F,-659,39,0,866900000,1572351210.0692108
3035345E3C3D78199C83236B,-814,43,0,866900000,1572351210.075274
3035345E3C39CF199C832005,-710,50,0,866900000,1572351210.0811071
3035345E403DBF199C838554,-680,45,0,866900000,1572351210.086362
3035345E3C3B2C999C832129,-701,19,0,866900000,1572351210.0867991
E28011700000020D350CAB3F,-710,40,0,866900000,1572351210.095791
3035345E3C39CF199C832007,-669,50,0,866900000,1572351210.099242
3035345E3C3F63D99C8325ED,-680,30,0,866900000,1572351210.104258
E28011700000020D350CABDF,-694,31,0,866900000,1572351210.109333
E28068100000003931D50CEE,-669,39,0,866900000,1572351210.114084
3035345E3C3E44199C832447,-659,59,0,866900000,1572351210.120426
E28011700000020D350CC400,-747,61,0,866900000,1572351210.124136
3035345E3C39F2D99C83201D,-719,48,0,866900000,1572351210.126064
3035345E3C3D78199C83236C,-729,12,0,866900000,1572351210.136142
E28068100000003931D50A64,-674,5,1,866900000,1572351210.1549869
E28011700000020D350CAB2F,-694,10,1,866900000,1572351210.1589582
E28068100000003931D50CC6,-634,17,1,866900000,1572351210.1622539
E28011700000020D350CABDF,-710,49,1,866900000,1572351210.1665752
E28011700000020D350CABEF,-694,12,1,866900000,1572351210.173333
E28068100000003931D4FE1C,-669,54,1,866900000,1572351210.1781206
E28068100000003931D50D02,-669,55,1,866900000,1572351210.1821132
3035345E403DBF199C838554,-674,26,1,866900000,1572351210.187273
E28068100000003931D4FBAF,-680,31,1,866900000,1572351210.192344
E28068100000003931D50CDA,-649,57,1,866900000,1572351210.19635
E28068100000003931D50CEE,-634,23,1,866900000,1572351210.20134
3035345E403DBD999C838551,-701,28,1,866900000,1572351210.2092822
3035345E3C3E44199C832447,-701,34,1,866900000,1572351210.2131732
3035345E403DDD199C8385C6,-719,40,1,866900000,1572351210.217494
E28068100000003931D5B155,-669,56,1,866900000,1572351210.221997
3035345E403DBDD99C838552,-710,24,1,866900000,1572351210.22556
E28011700000020D350CC58F,-701,63,1,866900000,1572351210.229381
E28011700000020D350CE1BE,-747,51,1,866900000,1572351210.235154
E28068100000003931D50A8C,-687,42,1,866900000,1572351210.241204
3035345E403DBDD99C838553,-710,16,1,866900000,1572351210.2413938
E28011700000020D350CAB3F,-789,49,1,866900000,1572351210.253338
3035345E403DBDD99C838553,-701,28,1,866900000,1572351210.2641852
E28068100000003931D4FBAF,-747,0,1,866900000,1572351210.2692509
E28068100000003931D50D02,-674,34,1,866900000,1572351210.274112
3035345E403DBD999C838551,-694,50,1,866900000,1572351210.2780561
E28068100000003931D50CEE,-641,56,1,866900000,1572351210.283367
E28011700000020D350CC58F,-687,16,1,866900000,1572351210.287733
E28011700000020D350CABDF,-710,8,1,866900000,1572351210.291641
E28011700000020D350CABEF,-659,12,1,866900000,1572351210.30159
E28068100000003931D50CC6,-729,12,1,866900000,1572351210.3052669
E28068100000003931D5B155,-680,5,1,866900000,1572351210.309098
E28011700000020D350CE1BE,-719,1,1,866900000,1572351210.3110454
3035345E403DBDD99C838552,-710,52,1,866900000,1572351210.32019
3035345E3C43E2D99C832B07,-701,24,1,866900000,1572351210.3254461
3035345E403DBF199C838554,-659,9,1,866900000,1572351210.329338
E28011700000020D350CAB2F,-669,31,1,866900000,1572351210.3334012
3035345E403DBCD99C838550,-719,0,1,866900000,1572351210.334143
3035345E3C4447999C832B9F,-719,10,1,866900000,1572351210.344314
E28011700000020D350CAB3F,-747,6,1,866900000,1572351210.3481538
3035345E3C43CC599C832AEB,-634,41,0,866900000,1572351210.369698
3035345E3C3DEAD99C8323CF,-741,36,0,866900000,1572351210.37314
3035345E3C3C91599C8322A2,-634,24,0,866900000,1572351210.375113
E28011700000020D350CC59F,-754,24,0,866900000,1572351210.389428
3035345E3C43CC999C832AEC,-659,23,0,866900000,1572351210.394442
E28011700000020D350CAB3F,-741,48,0,866900000,1572351210.401334
3035345E3C44B1999C832C91,-659,53,0,866900000,1572351210.405366
3035345E3C1CF6199C8309C0,-641,55,0,866900000,1572351210.411212
3035345E3C3DEAD99C8323CE,-741,32,0,866900000,1572351210.4175642
3035345E3C3D78199C83236B,-770,25,0,866900000,1572351210.424907
3035345E3C43CBD99C832AE7,-649,5,0,866900000,1572351210.433681
3035345E3C39CF199C832005,-701,62,0,866900000,1572351210.438582
3035345E3C44B1999C832C8E,-719,16,0,866900000,1572351210.444386
3035345E3C434FD99C832A42,-729,35,0,866900000,1572351210.44815
3035345E3C43CC199C832AE9,-669,45,0,866900000,1572351210.45119
3035345E3C468ED99C832E6E,-627,61,0,866900000,1572351210.4601529
3035345E3C3D77599C83236A,-719,46,0,866900000,1572351210.465365
3035345E3C43CC199C832AE8,-649,5,0,866900000,1572351210.472328
3035345E3C4684999C832E6C,-627,43,0,866900000,1572351210.480256
E28011700000020D350CC400,-674,38,0,866900000,1572351210.4863732
3035345E3C4436599C832B79,-701,56,0,866900000,1572351210.491872
3035345E3C44B6599C832CAB,-659,12,0,866900000,1572351210.495701
3035345E3C44B1999C832C90,-609,16,0,866900000,1572351210.500631
3035345E3C1D06199C8309C4,-598,7,0,866900000,1572351210.5072482
3035345E3C4398999C832AC8,-701,16,0,866900000,1572351210.5122402
3035345E3C43E2D99C832B07,-669,47,0,866900000,1572351210.5182118
3035345E3C4447999C832B9F,-729,6,0,866900000,1572351210.524462
3035345E3C3B2C999C832129,-729,5,0,866900000,1572351210.528585
3035345E3C3E74999C8324A2,-674,28,0,866900000,1572351210.529356
3035345E3C3EE171312231E5,-779,5,0,866900000,1572351210.5443149
3035345E3C1AE0199C8307E0,-719,25,0,866900000,1572351210.5480974
3035345E3C468E999C832E6D,-614,1,0,866900000,1572351210.553068
3035345E3C422A599C832977,-669,47,0,866900000,1572351210.5580294
E28011700000020D350CC58F,-687,26,0,866900000,1572351210.5683038
3035345E3C43CC999C832AED,-669,23,0,866900000,1572351210.5713036
E28011700000020D350CABDF,-701,59,0,866900000,1572351210.575181
3035345E3C4596599C832DA5,-762,2,0,866900000,1572351210.5821462
3035345E3C3DEAD99C8323D0,-710,45,0,866900000,1572351210.5862248
3035345E3C434FD99C832A45,-754,47,0,866900000,1572351210.587105
3035345E3C3DEAD99C8323D1,-754,5,0,866900000,1572351210.6025698
3035345E3C4436599C832B78,-719,4,0,866900000,1572351210.608166
E28068100000003931D50CC6,-729,23,0,866900000,1572351210.612117
3035345E3C3E44199C832449,-729,21,0,866900000,1572351210.614018
3035345E3C3E44199C832448,-669,54,0,866900000,1572351210.6235056
3035345E3C4596999C832DA6,-694,50,0,866900000,1572351210.627543
3035345E3C44B1999C832C92,-649,19,0,866900000,1572351210.6313238
3035345E3C44B1999C832C8F,-659,22,0,866900000,1572351210.6363358
3035345E3C44B2199C832C98,-729,40,0,866900000,1572351210.640147
3035345E3C4684999C832E6B,-649,23,0,866900000,1572351210.6451044
3035345E3C44B8199C832CBA,-687,19,0,866900000,1572351210.65536
E28011700000020D350CABCF,-729,15,0,866900000,1572351210.6614242
3035345E3C46BC199C832EBF,-729,34,0,866900000,1572351210.6653829
3035345E3C39CF199C832007,-680,21,0,866900000,1572351210.6693552
E28011700000020D350CAB2F,-669,18,0,866900000,1572351210.6730704
E28011700000020D350CABEF,-729,31,0,866900000,1572351210.677099
3035345E3C44B1999C832C93,-687,30,0,866900000,1572351210.678072
3035345E3C44B6599C832CB3,-735,51,0,866900000,1572351210.686718
3035345E3C468ED99C832E6E,-641,18,0,866900000,1572351210.704281
3035345E3C3E74999C8324A1,-669,51,0,866900000,1572351210.708122
3035345E3C4693599C832E6F,-669,49,0,866900000,1572351210.71019
3035345E3C46C7999C832ED5,-659,47,0,866900000,1572351210.719108
3035345E3C212C999C830BA8,-634,60,0,866900000,1572351210.723379
3035345E3C4684999C832E6B,-659,6,0,866900000,1572351210.730374
3035345E3C44B6599C832CAB,-669,33,0,866900000,1572351210.7341518
3035345E3C3E74999C8324A4,-680,8,0,866900000,1572351210.7382982
3035345E3C4596999C832DA7,-687,37,0,866900000,1572351210.7421222
3035345E3C212DD99C830BA9,-649,12,0,866900000,1572351210.746177
3035345E3C43CC999C832AED,-701,32,0,866900000,1572351210.7505114
3035345E3C3B8C999C83219C,-641,24,0,866900000,1572351210.7556758
E28011700000020D350CC59F,-669,37,0,866900000,1572351210.7606466
3035345E3C4436599C832B79,-687,4,0,866900000,1572351210.76437
3035345E3C422BD99C832978,-669,27,0,866900000,1572351210.7714078
3035345E3C1E2E599C830A2B,-659,62,0,866900000,1572351210.7751381
3035345E3C1CF6199C8309C0,-649,1,0,866900000,1572351210.7791631
3035345E3C3B2C999C832129,-701,58,0,866900000,1572351210.784184
3035345E3C4445D99C832B96,-741,40,0,866900000,1572351210.788366
3035345E3C43CC199C832AE8,-719,34,0,866900000,1572351210.7930288
3035345E3C3E82D99C8324F5,-719,58,0,866900000,1572351210.7969902
3035345E3C422BD99C832979,-649,39,0,866900000,1572351210.801259
3035345E3C1D06199C8309C4,-609,61,0,866900000,1572351210.805658
