epc,rssi,phase,beam_id,frequency,time
E28011700000020D350CAB2F,-659,40,0,866900000,1572351133.728148
3035345E3C40B3D99C8327F9,-649,45,0,866900000,1572351133.739245
3035345E3C3F5E199C8325E4,-649,26,0,866900000,1572351133.743158
3035345E403DBDD99C838552,-719,49,0,866900000,1572351133.747568
3035345E3C3FA9199C832666,-659,13,0,866900000,1572351133.752082
3035345E3C3F63D99C8325ED,-674,30,0,866900000,1572351133.757057
3035345E3C1E2D599C830A2A,-669,38,0,866900000,1572351133.75747
3035345E3C3D78199C83236C,-779,41,0,866900000,1572351133.765329
3035345E3C2B40999C8314BE,-710,18,0,866900000,1572351133.775481
3035345E3C3D83199C832373,-634,53,0,866900000,1572351133.779288
E28011700000020D350CC58F,-694,40,0,866900000,1572351133.781259
3035345E3C39CF199C832007,-680,24,0,866900000,1572351133.789351
E28011700000020D350CE1BE,-669,55,0,866900000,1572351133.793239
3035345E403DBFD99C83855D,-747,20,0,866900000,1572351133.7942169
E28068100000003931D50CC6,-762,6,0,866900000,1572351133.804458
E28068100000003931D50CEE,-669,51,0,866900000,1572351133.8132546
3035345E3C3F5E199C8325E4,-649,39,0,866900000,1572351133.818327
3035345E3C3FA9199C832666,-680,18,0,866900000,1572351133.8235142
E28068100000003931D50CC6,-719,11,0,866900000,1572351133.828288
E28011700000020D350CABDF,-649,53,0,866900000,1572351133.832572
E28011700000020D350CE1BE,-694,57,0,866900000,1572351133.834382
E28068100000003931D50D02,-719,39,0,866900000,1572351133.846246
3035345E3C4447999C832B9F,-729,27,0,866900000,1572351133.85028
30347A1200001ABCBC2242D9,-719,29,0,866900000,1572351133.854579
3035345E3C40B3D99C8327F9,-649,56,0,866900000,1572351133.8582456
3035345E3C3F5E199C8325E5,-634,62,0,866900000,1572351133.8621712
E28011700000020D350CC58F,-694,45,0,866900000,1572351133.867342
3035345E3C3F63D99C8325ED,-694,44,0,866900000,1572351133.873261
3035345E3C3D83199C832373,-641,62,0,866900000,1572351133.8784301
E28011700000020D350CAB2F,-659,50,0,866900000,1572351133.882307
3035345E3C39CF199C832000,-747,14,0,866900000,1572351133.887512
E28011700000020D350CABEF,-620,7,0,866900000,1572351133.8902774
3035345E403DBDD99C838552,-735,43,0,866900000,1572351133.8986206
3035345E3C39CF199C832005,-701,40,0,866900000,1572351133.9025438
3035345E403DBDD99C838553,-719,26,0,866900000,1572351133.908454
