beam_id,epc,frequency,phase,rssi,time
0,E28011700000020EC250695D,866900000,45,-589,1570716048.262559
0,E28011700000020EC2506956,866900000,37,-453,1570716048.263031
0,E28011700000020EC2506957,866900000,27,-560,1570716048.272616
0,E28011700000020EC250695C,866900000,36,-393,1570716048.2769132
0,E28011700000020EC250705D,866900000,5,-409,1570716048.2816699
0,E28011700000020EC2507056,866900000,49,-478,1570716048.2878098
0,E28011700000020EC250715C,866900000,21,-659,1570716048.292723
0,E28011700000020EC250705C,866900000,31,-440,1570716048.2965732
0,E28011700000020EC2507056,866900000,51,-488,1570716048.305683
0,E28011700000020EC2506956,866900000,38,-453,1570716048.3095438
0,E28011700000020EC2506957,866900000,29,-560,1570716048.313558
0,E28011700000020EC250705C,866900000,34,-440,1570716048.327184
0,E28011700000020EC250695D,866900000,45,-598,1570716048.331009
0,E28011700000020EC250705D,866900000,6,-409,1570716048.3361769
0,E28011700000020EC250715C,866900000,26,-669,1570716048.3407092
0,E28011700000020EC250695C,866900000,37,-393,1570716048.341044
1,E28011700000020EC2506857,866900000,8,-488,1570716048.368772
1,E28011700000020EC250705D,866900000,2,-478,1570716048.3725498
1,E28011700000020EC2506956,866900000,28,-494,1570716048.374541
1,E28011700000020EC250695C,866900000,40,-460,1570716048.382483
1,E28011700000020EC2506957,866900000,6,-560,1570716048.3921568
1,E28011700000020EC2507056,866900000,57,-494,1570716048.395794
1,E28011700000020EC2507057,866900000,47,-573,1570716048.39981
1,E28011700000020EC250715C,866900000,31,-598,1570716048.409276
1,E28011700000020EC250695D,866900000,15,-634,1570716048.415255
1,E28011700000020EC250705D,866900000,5,-478,1570716048.418854
1,E28011700000020EC250715C,866900000,33,-589,1570716048.4247758
1,E28011700000020EC250695C,866900000,42,-460,1570716048.430658
1,E28011700000020EC250705C,866900000,33,-500,1570716048.434782
1,E28011700000020EC2507056,866900000,59,-494,1570716048.436548
1,E28011700000020EC2507057,866900000,48,-573,1570716048.447546
1,E28011700000020EC250695D,866900000,18,-634,1570716048.451891
1,E28011700000020EC2506957,866900000,8,-560,1570716048.45589
1,E28011700000020EC2506956,866900000,33,-500,1570716048.4629078
1,E28011700000020EC2506857,866900000,11,-478,1570716048.466053
0,E28011700000020EC250705D,866900000,9,-400,1570716048.4858868
0,E28011700000020EC2506956,866900000,44,-440,1570716048.48982
0,E28011700000020EC2506957,866900000,31,-548,1570716048.497778
0,E28011700000020EC2507056,866900000,58,-488,1570716048.503561
0,E28011700000020EC250715C,866900000,26,-620,1570716048.507534
0,E28011700000020EC2506857,866900000,23,-446,1570716048.511532
0,E28011700000020EC250695C,866900000,41,-393,1570716048.5155401
0,E28011700000020EC250695D,866900000,48,-581,1570716048.519867
0,E28011700000020EC2506857,866900000,24,-440,1570716048.5342069
0,E28011700000020EC250705D,866900000,12,-400,1570716048.538935
0,E28011700000020EC250695C,866900000,43,-393,1570716048.543076
0,E28011700000020EC250695D,866900000,48,-581,1570716048.5461626
0,E28011700000020EC2507056,866900000,59,-488,1570716048.5549
0,E28011700000020EC2506956,866900000,47,-434,1570716048.5596669
0,E28011700000020EC250705C,866900000,41,-434,1570716048.561545
0,E28011700000020EC250715C,866900000,26,-620,1570716048.569775
0,E28011700000020EC2506957,866900000,34,-548,1570716048.571577
1,E28011700000020EC2507057,866900000,54,-573,1570716048.593858
1,E28011700000020EC250705C,866900000,39,-494,1570716048.5959039
1,E28011700000020EC2506957,866900000,12,-554,1570716048.6092525
1,E28011700000020EC2506857,866900000,14,-478,1570716048.6109712
1,E28011700000020EC2506956,866900000,39,-494,1570716048.6199539
1,E28011700000020EC250695C,866900000,47,-440,1570716048.6256812
1,E28011700000020EC250705D,866900000,11,-469,1570716048.631559
1,E28011700000020EC2507056,866900000,62,-478,1570716048.6347868
1,E28011700000020EC250715C,866900000,39,-573,1570716048.638576
1,E28011700000020EC250695D,866900000,23,-609,1570716048.642529
1,E28011700000020EC250705D,866900000,13,-478,1570716048.6587849
1,E28011700000020EC250695D,866900000,25,-609,1570716048.662741
1,E28011700000020EC2506957,866900000,15,-548,1570716048.666805
1,E28011700000020EC2507056,866900000,62,-478,1570716048.670763
1,E28011700000020EC2506857,866900000,14,-478,1570716048.674803
1,E28011700000020EC250695C,866900000,48,-434,1570716048.6787279
1,E28011700000020EC250705C,866900000,43,-494,1570716048.685249
1,E28011700000020EC2507057,866900000,58,-566,1570716048.6898296
1,E28011700000020EC2506956,866900000,45,-500,1570716048.6936672
1,E28011700000020EC250715C,866900000,43,-560,1570716048.6945212
0,E28011700000020EC2506857,866900000,30,-446,1570716048.7206552
0,E28011700000020EC250695D,866900000,52,-560,1570716048.721479
0,E28011700000020EC2506956,866900000,59,-440,1570716048.730468
0,E28011700000020EC2507056,866900000,8,-488,1570716048.734504
0,E28011700000020EC2506957,866900000,37,-529,1570716048.7401528
0,E28011700000020EC250695C,866900000,51,-373,1570716048.7429562
0,E28011700000020EC2507057,866900000,18,-674,1570716048.7528741
0,E28011700000020EC250705C,866900000,48,-428,1570716048.757827
0,E28011700000020EC250705D,866900000,20,-386,1570716048.76362
0,E28011700000020EC250715C,866900000,35,-589,1570716048.764517
0,E28011700000020EC250705D,866900000,19,-386,1570716048.776629
0,E28011700000020EC2507056,866900000,11,-488,1570716048.786525
0,E28011700000020EC250715C,866900000,34,-598,1570716048.791844
0,E28011700000020EC250695C,866900000,52,-373,1570716048.796746
0,E28011700000020EC2506956,866900000,1,-460,1570716048.7998161
0,E28011700000020EC2506957,866900000,37,-521,1570716048.805038
0,E28011700000020EC2507057,866900000,15,-649,1570716048.81122
0,E28011700000020EC2506857,866900000,30,-469,1570716048.8141448
0,E28011700000020EC250695D,866900000,55,-548,1570716048.8159392
1,E28011700000020EC2507057,866900000,57,-548,1570716048.8357642
1,E28011700000020EC2506857,866900000,12,-478,1570716048.840534
1,E28011700000020EC250695D,866900000,38,-589,1570716048.843521
1,E28011700000020EC250695C,866900000,49,-440,1570716048.854528
1,E28011700000020EC2506956,866900000,37,-488,1570716048.8598669
1,E28011700000020EC2506957,866900000,17,-529,1570716048.863837
1,E28011700000020EC250715C,866900000,40,-548,1570716048.867698
1,E28011700000020EC2507056,866900000,8,-478,1570716048.871916
1,E28011700000020EC250705D,866900000,1,-500,1570716048.876966
1,E28011700000020EC250705C,866900000,34,-538,1570716048.888911
1,E28011700000020EC250705D,866900000,61,-506,1570716048.8926568
1,E28011700000020EC2506956,866900000,24,-494,1570716048.897533
1,E28011700000020EC250695D,866900000,36,-598,1570716048.902794
1,E28011700000020EC250695C,866900000,43,-469,1570716048.9095418
1,E28011700000020EC2506957,866900000,16,-521,1570716048.911532
