beam_id,epc,frequency,phase,rssi,time
0,E28011700000020EC250705D,866900000,6,-529,1570714956.865995
0,E28011700000020EC2507057,866900000,19,-469,1570714956.866559
0,E28011700000020EC2506956,866900000,33,-500,1570714956.8721511
0,E28011700000020EC250695C,866900000,14,-521,1570714956.877611
0,E28011700000020EC2506957,866900000,34,-494,1570714956.882584
0,E28011700000020EC250695D,866900000,24,-500,1570714956.885258
0,E28011700000020EC2506857,866900000,49,-529,1570714956.8921142
0,E28011700000020EC250705C,866900000,7,-521,1570714956.8983848
0,E28011700000020EC2507056,866900000,29,-710,1570714956.8988519
0,E28011700000020EC250715C,866900000,49,-513,1570714956.904372
0,E28011700000020EC2506957,866900000,35,-494,1570714956.914626
0,E28011700000020EC250695C,866900000,16,-529,1570714956.9196758
0,E28011700000020EC2506857,866900000,52,-521,1570714956.923775
0,E28011700000020EC250715C,866900000,51,-513,1570714956.9265778
0,E28011700000020EC2506956,866900000,40,-500,1570714956.936666
0,E28011700000020EC2507057,866900000,23,-469,1570714956.941602
0,E28011700000020EC250695D,866900000,29,-506,1570714956.948498
0,E28011700000020EC250705C,866900000,11,-513,1570714956.951395
1,E28011700000020EC2506957,866900000,41,-560,1570714956.973357
1,E28011700000020EC250705C,866900000,61,-440,1570714956.976367
1,E28011700000020EC2506857,866900000,8,-614,1570714956.981642
1,E28011700000020EC2507057,866900000,29,-529,1570714956.986454
1,E28011700000020EC250695C,866900000,26,-478,1570714956.9894
1,E28011700000020EC250695D,866900000,24,-609,1570714956.9945862
1,E28011700000020EC250705D,866900000,26,-418,1570714957.007561
1,E28011700000020EC2506957,866900000,48,-560,1570714957.0126982
1,E28011700000020EC250695C,866900000,33,-478,1570714957.01731
1,E28011700000020EC2507056,866900000,26,-488,1570714957.0222454
1,E28011700000020EC2507057,866900000,37,-529,1570714957.026069
1,E28011700000020EC250705C,866900000,11,-440,1570714957.02798
1,E28011700000020EC250695D,866900000,26,-620,1570714957.039238
1,E28011700000020EC2506857,866900000,19,-598,1570714957.045658
0,E28011700000020EC250715C,866900000,9,-494,1570714957.068552
0,E28011700000020EC2507056,866900000,11,-694,1570714957.0726461
0,E28011700000020EC2507057,866900000,52,-469,1570714957.077481
0,E28011700000020EC2506956,866900000,62,-494,1570714957.081574
0,E28011700000020EC250705D,866900000,54,-538,1570714957.0821981
0,E28011700000020EC2506857,866900000,34,-488,1570714957.094121
0,E28011700000020EC250705C,866900000,47,-506,1570714957.0993018
0,E28011700000020EC250695C,866900000,56,-538,1570714957.10006
0,E28011700000020EC2506957,866900000,13,-494,1570714957.1123571
0,E28011700000020EC250695D,866900000,62,-478,1570714957.1132202
0,E28011700000020EC2507057,866900000,8,-469,1570714957.129173
0,E28011700000020EC250715C,866900000,21,-478,1570714957.135293
0,E28011700000020EC250695D,866900000,5,-478,1570714957.139293
0,E28011700000020EC2507056,866900000,31,-669,1570714957.145267
0,E28011700000020EC250705D,866900000,15,-521,1570714957.150601
0,E28011700000020EC250705C,866900000,62,-500,1570714957.157291
0,E28011700000020EC2506957,866900000,37,-488,1570714957.157641
0,E28011700000020EC2506857,866900000,2,-460,1570714957.169197
0,E28011700000020EC2506956,866900000,13,-529,1570714957.174219
0,E28011700000020EC250695C,866900000,21,-521,1570714957.1806011
1,E28011700000020EC250705C,866900000,54,-409,1570714957.1964881
1,E28011700000020EC2507057,866900000,23,-538,1570714957.204669
1,E28011700000020EC250705D,866900000,48,-418,1570714957.2092938
1,E28011700000020EC250695D,866900000,38,-641,1570714957.2137618
1,E28011700000020EC2507056,866900000,5,-500,1570714957.218349
1,E28011700000020EC250695C,866900000,41,-446,1570714957.222126
1,E28011700000020EC2506957,866900000,23,-581,1570714957.2291212
1,E28011700000020EC250715C,866900000,34,-674,1570714957.231984
1,E28011700000020EC2506956,866900000,56,-560,1570714957.236059
1,E28011700000020EC2506857,866900000,25,-620,1570714957.237992
1,E28011700000020EC250695C,866900000,33,-453,1570714957.254091
1,E28011700000020EC2506956,866900000,49,-548,1570714957.256992
1,E28011700000020EC250705D,866900000,34,-446,1570714957.265955
1,E28011700000020EC250705C,866900000,47,-409,1570714957.2719212
1,E28011700000020EC2507056,866900000,2,-506,1570714957.274004
1,E28011700000020EC2506957,866900000,10,-609,1570714957.285192
1,E28011700000020EC2507057,866900000,10,-701,1570714957.292093
1,E28011700000020EC2506857,866900000,38,-560,1570714957.293992
0,E28011700000020EC2506957,866900000,22,-446,1570714957.316134
0,E28011700000020EC2506956,866900000,29,-538,1570714957.3229508
0,E28011700000020EC250695C,866900000,26,-500,1570714957.326932
0,E28011700000020EC2507057,866900000,8,-393,1570714957.3309462
0,E28011700000020EC2506857,866900000,61,-500,1570714957.340938
0,E28011700000020EC2507056,866900000,39,-548,1570714957.3420892
0,E28011700000020EC250705D,866900000,27,-513,1570714957.3509731
0,E28011700000020EC250705C,866900000,7,-538,1570714957.3520892
0,E28011700000020EC250695D,866900000,7,-513,1570714957.366132
0,E28011700000020EC2506857,866900000,52,-469,1570714957.371113
0,E28011700000020EC2507057,866900000,9,-400,1570714957.378106
0,E28011700000020EC250705D,866900000,29,-529,1570714957.3820002
0,E28011700000020EC250715C,866900000,62,-469,1570714957.385995
0,E28011700000020EC2506957,866900000,26,-446,1570714957.388944
0,E28011700000020EC250695C,866900000,27,-548,1570714957.402941
0,E28011700000020EC2506956,866900000,16,-513,1570714957.406938
0,E28011700000020EC250705C,866900000,48,-589,1570714957.410945
0,E28011700000020EC2507056,866900000,37,-548,1570714957.4151292
1,E28011700000020EC2507057,866900000,51,-529,1570714957.432075
1,E28011700000020EC250695D,866900000,25,-598,1570714957.436002
1,E28011700000020EC250715C,866900000,6,-687,1570714957.442061
1,E28011700000020EC250705D,866900000,48,-506,1570714957.4470391
1,E28011700000020EC2506857,866900000,57,-440,1570714957.452032
1,E28011700000020EC2507056,866900000,29,-494,1570714957.455998
1,E28011700000020EC250695C,866900000,49,-538,1570714957.4609652
1,E28011700000020EC2506957,866900000,10,-747,1570714957.462976
1,E28011700000020EC2506956,866900000,30,-500,1570714957.468957
1,E28011700000020EC250705C,866900000,22,-446,1570714957.475936
1,E28011700000020EC250705C,866900000,22,-440,1570714957.490114
1,E28011700000020EC2506956,866900000,34,-500,1570714957.494112
1,E28011700000020EC2506857,866900000,62,-434,1570714957.499018
1,E28011700000020EC250705D,866900000,62,-488,1570714957.5030751
1,E28011700000020EC2507056,866900000,40,-478,1570714957.503977
1,E28011700000020EC2507057,866900000,38,-500,1570714957.5130932
1,E28011700000020EC2506957,866900000,47,-762,1570714957.517007
1,E28011700000020EC250695C,866900000,1,-529,1570714957.522033
1,E28011700000020EC250695D,866900000,30,-634,1570714957.5259454
1,E28011700000020EC250715C,866900000,30,-710,1570714957.526974
0,E28011700000020EC2507056,866900000,41,-529,1570714957.5540679
0,E28011700000020EC250705D,866900000,36,-641,1570714957.5580866
0,E28011700000020EC2506956,866900000,25,-453,1570714957.563087
0,E28011700000020EC250695D,866900000,30,-488,1570714957.567038
0,E28011700000020EC2506957,866900000,33,-554,1570714957.5720391
0,E28011700000020EC250715C,866900000,6,-488,1570714957.5760741
0,E28011700000020EC2506857,866900000,54,-373,1570714957.576362
0,E28011700000020EC250695C,866900000,35,-620,1570714957.590092
0,E28011700000020EC250705C,866900000,58,-589,1570714957.5949702
0,E28011700000020EC2507057,866900000,8,-478,1570714957.595952
0,E28011700000020EC2506957,866900000,33,-598,1570714957.606962
0,E28011700000020EC2506857,866900000,57,-373,1570714957.620764
0,E28011700000020EC250715C,866900000,16,-494,1570714957.621046
0,E28011700000020EC250705C,866900000,62,-566,1570714957.626179
0,E28011700000020EC2506956,866900000,40,-453,1570714957.627063
0,E28011700000020EC2507057,866900000,11,-488,1570714957.6362119
0,E28011700000020EC2507056,866900000,47,-506,1570714957.640066
0,E28011700000020EC250695C,866900000,39,-641,1570714957.646102
0,E28011700000020EC250705D,866900000,48,-649,1570714957.6489902
0,E28011700000020EC250695D,866900000,47,-469,1570714957.6540658
1,E28011700000020EC250705D,866900000,13,-434,1570714957.6730142
1,E28011700000020EC250705C,866900000,22,-400,1570714957.676987
1,E28011700000020EC250695C,866900000,39,-453,1570714957.681967
1,E28011700000020EC250715C,866900000,62,-634,1570714957.685924
1,E28011700000020EC2506956,866900000,19,-538,1570714957.6912858
1,E28011700000020EC2506857,866900000,56,-573,1570714957.6952438
1,E28011700000020EC2507056,866900000,4,-478,1570714957.697309
1,E28011700000020EC2506957,866900000,12,-521,1570714957.704059
1,E28011700000020EC2507057,866900000,57,-529,1570714957.7131
1,E28011700000020EC250695D,866900000,14,-680,1570714957.7139618
1,E28011700000020EC2507057,866900000,55,-529,1570714957.728116
1,E28011700000020EC250715C,866900000,14,-649,1570714957.729975
1,E28011700000020EC250705C,866900000,36,-393,1570714957.7401
1,E28011700000020EC2507056,866900000,62,-494,1570714957.7451124
1,E28011700000020EC250705D,866900000,16,-379,1570714957.751091
1,E28011700000020EC2506957,866900000,5,-500,1570714957.7549698
1,E28011700000020EC2506857,866900000,4,-589,1570714957.7599552
1,E28011700000020EC2506956,866900000,43,-609,1570714957.763971
1,E28011700000020EC250695C,866900000,38,-428,1570714957.788307
1,E28011700000020EC250695D,866900000,45,-710,1570714957.788544
0,E28011700000020EC250705D,866900000,32,-538,1570714957.790265
0,E28011700000020EC250695D,866900000,49,-460,1570714957.7952778
0,E28011700000020EC2506857,866900000,12,-368,1570714957.801269
0,E28011700000020EC2506957,866900000,61,-513,1570714957.8040774
0,E28011700000020EC250705C,866900000,13,-469,1570714957.8080034
0,E28011700000020EC250715C,866900000,58,-460,1570714957.812016
0,E28011700000020EC2507056,866900000,8,-538,1570714957.817002
0,E28011700000020EC2506956,866900000,16,-469,1570714957.8209949
0,E28011700000020EC2507057,866900000,0,-469,1570714957.8219314
0,E28011700000020EC250695C,866900000,57,-506,1570714957.832269
0,E28011700000020EC2506857,866900000,16,-400,1570714957.844043
0,E28011700000020EC250695D,866900000,39,-453,1570714957.847984
0,E28011700000020EC2506957,866900000,6,-488,1570714957.853034
0,E28011700000020EC2507057,866900000,63,-460,1570714957.876058
0,E28011700000020EC250705D,866900000,55,-453,1570714957.8762894
0,E28011700000020EC250705C,866900000,30,-453,1570714957.876488
0,E28011700000020EC2507056,866900000,5,-500,1570714957.8768902
0,E28011700000020EC2506956,866900000,4,-488,1570714957.877425
0,E28011700000020EC250695C,866900000,48,-478,1570714957.8798988
0,E28011700000020EC250715C,866900000,40,-460,1570714957.888992
1,E28011700000020EC2506956,866900000,48,-614,1570714957.907093
1,E28011700000020EC2507056,866900000,12,-488,1570714957.911968
1,E28011700000020EC250705C,866900000,57,-409,1570714957.9139302
1,E28011700000020EC250705D,866900000,52,-409,1570714957.9239259
1,E28011700000020EC2506857,866900000,5,-581,1570714957.9259038
1,E28011700000020EC2506957,866900000,16,-529,1570714957.933917
1,E28011700000020EC250695C,866900000,43,-453,1570714957.9382858
1,E28011700000020EC2507057,866900000,2,-494,1570714957.93906
1,E28011700000020EC250695D,866900000,20,-581,1570714957.9482849
1,E28011700000020EC250715C,866900000,25,-548,1570714957.949085
1,E28011700000020EC2506857,866900000,59,-581,1570714957.9620981
1,E28011700000020EC2507057,866900000,55,-494,1570714957.966008
1,E28011700000020EC250695C,866900000,35,-478,1570714957.969999
1,E28011700000020EC250705C,866900000,52,-418,1570714957.973982
1,E28011700000020EC2506956,866900000,29,-609,1570714957.9780269
1,E28011700000020EC250695D,866900000,8,-560,1570714957.98303
1,E28011700000020EC250705D,866900000,39,-460,1570714957.9879858
1,E28011700000020EC2506957,866900000,57,-548,1570714957.9919648
1,E28011700000020EC2507056,866900000,55,-538,1570714957.99394
1,E28011700000020EC250715C,866900000,17,-529,1570714958.0009382
0,E28011700000020EC2506956,866900000,49,-560,1570714958.024131
0,E28011700000020EC250695D,866900000,30,-538,1570714958.030005
0,E28011700000020EC2507056,866900000,57,-506,1570714958.0340102
0,E28011700000020EC250715C,866900000,38,-478,1570714958.037997
0,E28011700000020EC250705C,866900000,52,-409,1570714958.044029
0,E28011700000020EC250705D,866900000,41,-428,1570714958.0490296
0,E28011700000020EC2507057,866900000,24,-440,1570714958.0540092
0,E28011700000020EC250695C,866900000,41,-453,1570714958.0589492
0,E28011700000020EC2506857,866900000,21,-529,1570714958.0659401
0,E28011700000020EC2506957,866900000,39,-500,1570714958.0689466
0,E28011700000020EC250705C,866900000,57,-400,1570714958.078959
0,E28011700000020EC2507057,866900000,30,-446,1570714958.0833411
0,E28011700000020EC250705D,866900000,40,-428,1570714958.085084
0,E28011700000020EC250695C,866900000,41,-460,1570714958.0951
0,E28011700000020EC2506956,866900000,40,-598,1570714958.0990038
0,E28011700000020EC250695D,866900000,32,-581,1570714958.1019874
0,E28011700000020EC2507056,866900000,52,-513,1570714958.112098
0,E28011700000020EC250715C,866900000,44,-506,1570714958.112952
0,E28011700000020EC2506857,866900000,48,-513,1570714958.133075
0,E28011700000020EC2506957,866900000,51,-538,1570714958.136961
1,E28011700000020EC2506957,866900000,19,-494,1570714958.156107
1,E28011700000020EC2507057,866900000,12,-393,1570714958.160039
1,E28011700000020EC250695D,866900000,59,-529,1570714958.1639822
1,E28011700000020EC2506956,866900000,50,-581,1570714958.1679842
1,E28011700000020EC250695C,866900000,19,-609,1570714958.1730402
1,E28011700000020EC250705D,866900000,47,-609,1570714958.177025
1,E28011700000020EC250705C,866900000,5,-434,1570714958.1779711
1,E28011700000020EC2506857,866900000,48,-620,1570714958.191062
1,E28011700000020EC250715C,866900000,7,-500,1570714958.1949599
1,E28011700000020EC2507056,866900000,4,-674,1570714958.1979382
1,E28011700000020EC2506957,866900000,13,-488,1570714958.213969
1,E28011700000020EC250695C,866900000,21,-609,1570714958.217366
1,E28011700000020EC250705C,866900000,2,-428,1570714958.221031
1,E28011700000020EC2507057,866900000,9,-400,1570714958.2261078
1,E28011700000020EC250705D,866900000,45,-560,1570714958.231107
1,E28011700000020EC250695D,866900000,3,-521,1570714958.2350268
1,E28011700000020EC250715C,866900000,19,-478,1570714958.241056
1,E28011700000020EC2506956,866900000,57,-548,1570714958.242962
1,E28011700000020EC2507056,866900000,1,-659,1570714958.250962
1,E28011700000020EC2506857,866900000,10,-659,1570714958.26903
0,E28011700000020EC2506956,866900000,25,-649,1570714958.273299
0,E28011700000020EC2507057,866900000,36,-500,1570714958.283392
0,E28011700000020EC2506957,866900000,33,-614,1570714958.2872498
0,E28011700000020EC250705D,866900000,58,-409,1570714958.292086
0,E28011700000020EC250705C,866900000,16,-379,1570714958.29808
0,E28011700000020EC250695D,866900000,55,-548,1570714958.300999
0,E28011700000020EC2507056,866900000,57,-529,1570714958.3049989
0,E28011700000020EC2506857,866900000,22,-418,1570714958.305964
0,E28011700000020EC250695C,866900000,63,-453,1570714958.3230982
0,E28011700000020EC250715C,866900000,16,-460,1570714958.323957
0,E28011700000020EC2507057,866900000,9,-573,1570714958.337013
0,E28011700000020EC250705D,866900000,5,-446,1570714958.343058
0,E28011700000020EC250705C,866900000,23,-453,1570714958.34897
0,E28011700000020EC250695D,866900000,57,-529,1570714958.357478
0,E28011700000020EC2506857,866900000,62,-434,1570714958.3579671
0,E28011700000020EC2506956,866900000,61,-460,1570714958.3622432
0,E28011700000020EC250695C,866900000,7,-488,1570714958.365288
0,E28011700000020EC250715C,866900000,30,-478,1570714958.374099
0,E28011700000020EC2507056,866900000,9,-573,1570714958.379094
0,E28011700000020EC2506957,866900000,11,-649,1570714958.382084
1,E28011700000020EC2506956,866900000,2,-478,1570714958.402123
1,E28011700000020EC2506957,866900000,57,-538,1570714958.40697
1,E28011700000020EC250695C,866900000,44,-598,1570714958.4130306
1,E28011700000020EC250715C,866900000,17,-409,1570714958.418064
1,E28011700000020EC250695D,866900000,24,-469,1570714958.423006
1,E28011700000020EC2507057,866900000,38,-513,1570714958.4249642
1,E28011700000020EC2506857,866900000,28,-609,1570714958.434943
1,E28011700000020EC2506957,866900000,44,-538,1570714958.441887
1,E28011700000020EC2506956,866900000,52,-460,1570714958.4524689
1,E28011700000020EC250695D,866900000,35,-453,1570714958.457012
1,E28011700000020EC250715C,866900000,47,-400,1570714958.4611034
1,E28011700000020EC2507057,866900000,25,-521,1570714958.4660811
1,E28011700000020EC2506857,866900000,24,-581,1570714958.471998
1,E28011700000020EC250695C,866900000,5,-649,1570714958.472238
0,E28011700000020EC250705D,866900000,1,-469,1570714958.49405
0,E28011700000020EC2507056,866900000,58,-674,1570714958.497926
0,E28011700000020EC250715C,866900000,57,-434,1570714958.501899
0,E28011700000020EC2506956,866900000,14,-368,1570714958.5069141
0,E28011700000020EC250705C,866900000,36,-506,1570714958.511235
0,E28011700000020EC250695C,866900000,21,-446,1570714958.5172849
0,E28011700000020EC2507057,866900000,22,-659,1570714958.5210738
0,E28011700000020EC2506957,866900000,4,-634,1570714958.529077
0,E28011700000020EC2506857,866900000,41,-506,1570714958.533992
0,E28011700000020EC250695D,866900000,49,-500,1570714958.53697
0,E28011700000020EC250695D,866900000,54,-506,1570714958.55106
0,E28011700000020EC2506857,866900000,39,-513,1570714958.555952
0,E28011700000020EC2506957,866900000,6,-614,1570714958.561932
0,E28011700000020EC250695C,866900000,32,-393,1570714958.562934
0,E28011700000020EC2506956,866900000,27,-393,1570714958.5722508
0,E28011700000020EC250715C,866900000,12,-428,1570714958.5762858
0,E28011700000020EC250705D,866900000,9,-500,1570714958.5823991
0,E28011700000020EC250705C,866900000,31,-554,1570714958.5830138
0,E28011700000020EC2507057,866900000,3,-641,1570714958.589076
1,E28011700000020EC2506957,866900000,42,-521,1570714958.610112
1,E28011700000020EC250705C,866900000,49,-609,1570714958.616983
1,E28011700000020EC250715C,866900000,34,-379,1570714958.6199648
1,E28011700000020EC2506956,866900000,57,-560,1570714958.621957
1,E28011700000020EC2507057,866900000,48,-538,1570714958.63001
1,E28011700000020EC250695C,866900000,18,-581,1570714958.633929
1,E28011700000020EC250695D,866900000,38,-460,1570714958.634927
